a : 8.3121, 0 -> 1
b : 5.3260, 0 -> 5
c : 5.7275, 0 -> 6
d : 2.9108, 0 -> 4
a : -0.5629, 1 -> 3
b : -3.7055, 1 -> 6
c : -2.3531, 1 -> 5
d : -7.8555, 1 -> 5
a : 7.9512, 2 -> 0
b : -7.0180, 2 -> 2
c : -9.1766, 2 -> 0
d : -6.8340, 2 -> 4
a : -0.1513, 3 -> 1
b : 9.9202, 3 -> 0
c : -8.9227, 3 -> 0
d : 6.0184, 3 -> 2
a : -7.1413, 4 -> 3
b : -8.3816, 4 -> 1
c : 5.5335, 4 -> 4
d : 3.9132, 4 -> 0
a : 7.3337, 5 -> 1
b : 0.5419, 5 -> 0
c : 3.7472, 5 -> 5
d : 2.3221, 5 -> 5
a : 2.4802, 6 -> 5
b : 4.7400, 6 -> 6
c : -1.6800, 6 -> 7
d : 4.3163, 6 -> 3
a : -3.7404, 7 -> 2
b : -9.8550, 7 -> 5
c : 4.7445, 7 -> 1
d : -9.6526, 7 -> 5
d : -7.6369, 0 -> 6
d : 9.7759, 0 -> 5
d : 7.3007, 1 -> 6
a : 1.2138, 1 -> 2
d : -6.7767, 2 -> 4
a : 9.1303, 2 -> 3
c : 0.0933, 3 -> 3
c : 3.8077, 3 -> 5
c : 5.8993, 4 -> 1
b : -4.5119, 4 -> 1
c : -8.3477, 5 -> 6
d : -6.1265, 5 -> 4
b : 1.1564, 6 -> 2
c : -2.3481, 6 -> 1
a : -1.6066, 7 -> 0
d : -6.5842, 7 -> 1
