a : 2.6647, 0 -> 7
b : 6.4744, 0 -> 2
a : -3.9131, 1 -> 1
b : 0.0661, 1 -> 5
a : -0.5317, 2 -> 6
b : 3.1931, 2 -> 7
a : 9.5216, 3 -> 4
b : 7.2875, 3 -> 4
a : 2.1818, 4 -> 6
b : 9.8170, 4 -> 7
a : -5.4644, 5 -> 7
b : 1.5270, 5 -> 0
a : -4.0434, 6 -> 3
b : 5.7260, 6 -> 7
a : 1.4261, 7 -> 0
b : 8.4814, 7 -> 0
b : 1.5025, 0 -> 7
b : -6.9719, 1 -> 1
b : -9.4063, 2 -> 6
a : -0.0978, 3 -> 3
b : 8.5916, 4 -> 2
b : -1.2419, 5 -> 5
b : 0.8277, 6 -> 0
a : -2.0374, 7 -> 7
a : -5.5560, 4 -> 5
b : -6.4010, 2 -> 1
