a : -4.2562, 0 -> 4
b : 9.7035, 0 -> 4
c : -8.9430, 0 -> 4
d : 6.1516, 0 -> 7
a : 1.0491, 1 -> 2
b : 4.4207, 1 -> 3
c : 1.5166, 1 -> 1
d : 0.5153, 1 -> 0
a : 4.9709, 2 -> 0
b : 9.6293, 2 -> 3
c : 9.1001, 2 -> 2
d : -0.3182, 2 -> 4
a : 7.3025, 3 -> 2
b : 9.8277, 3 -> 6
c : 2.7981, 3 -> 3
d : 1.2551, 3 -> 5
a : -3.5976, 4 -> 1
b : -2.6536, 4 -> 6
c : 9.0426, 4 -> 7
d : 2.3960, 4 -> 0
a : 3.3941, 5 -> 7
b : 0.2354, 5 -> 6
c : -6.2718, 5 -> 1
d : 5.3704, 5 -> 6
a : 2.8086, 6 -> 7
b : 4.8647, 6 -> 3
c : 1.3063, 6 -> 2
d : 4.9518, 6 -> 1
a : -9.4025, 7 -> 3
b : 7.2040, 7 -> 6
c : -6.7938, 7 -> 5
d : -5.8472, 7 -> 0
b : -4.8757, 0 -> 0
b : -1.8893, 0 -> 5
b : 6.5427, 1 -> 7
d : -7.0940, 1 -> 6
a : -0.8797, 2 -> 6
a : 8.3291, 2 -> 5
c : 1.5517, 3 -> 7
d : 1.2031, 3 -> 0
a : -1.3295, 4 -> 3
b : -5.2723, 4 -> 6
c : -2.5169, 5 -> 0
d : 9.4179, 5 -> 6
a : -4.5427, 6 -> 6
a : -8.5754, 6 -> 3
d : -9.1700, 7 -> 5
a : 3.0723, 7 -> 7
