a : 6.3606, 0 -> 6
b : -8.4023, 0 -> 4
c : -4.7866, 0 -> 5
d : -8.5613, 0 -> 2
a : -9.0862, 1 -> 1
b : 3.6422, 1 -> 3
c : 4.0884, 1 -> 1
d : 4.3991, 1 -> 7
a : 7.6227, 2 -> 5
b : -1.0559, 2 -> 0
c : 1.5636, 2 -> 0
d : -0.9148, 2 -> 4
a : -5.3234, 3 -> 3
b : -4.8255, 3 -> 7
c : 3.9047, 3 -> 1
d : 4.1293, 3 -> 4
a : -1.4071, 4 -> 1
b : -8.1712, 4 -> 0
c : -3.6408, 4 -> 1
d : -8.7018, 4 -> 0
a : -2.5674, 5 -> 5
b : 2.1301, 5 -> 0
c : -3.9250, 5 -> 2
d : -9.3242, 5 -> 1
a : -2.6399, 6 -> 3
b : 1.7641, 6 -> 3
c : -2.6936, 6 -> 2
d : -9.6970, 6 -> 2
a : 5.3101, 7 -> 5
b : 3.6206, 7 -> 1
c : -5.2411, 7 -> 0
d : 9.8418, 7 -> 0
a : 3.1011, 0 -> 2
a : -8.3812, 0 -> 5
d : -5.0101, 1 -> 3
c : 5.2026, 1 -> 4
b : -5.0089, 2 -> 3
d : -9.6957, 2 -> 2
d : -5.7618, 3 -> 3
a : 3.3863, 3 -> 4
c : -3.8838, 4 -> 4
a : 6.3611, 4 -> 2
d : -4.5600, 5 -> 4
a : -3.0189, 5 -> 0
c : 3.2818, 6 -> 2
b : -5.8143, 6 -> 4
b : -1.2126, 7 -> 4
a : -2.4867, 7 -> 2
