a : -4.4493, 0 -> 0
b : 7.8439, 0 -> 2
c : -1.6007, 0 -> 3
d : -9.3617, 0 -> 6
a : -8.5106, 1 -> 6
b : 4.6796, 1 -> 5
c : -8.8141, 1 -> 1
d : -9.1967, 1 -> 6
a : 6.3490, 2 -> 6
b : 7.6595, 2 -> 0
c : 6.7783, 2 -> 3
d : -1.0262, 2 -> 2
a : -0.1126, 3 -> 2
b : -9.2152, 3 -> 3
c : -9.9174, 3 -> 2
d : -5.3526, 3 -> 5
a : 6.9091, 4 -> 5
b : 9.2342, 4 -> 4
c : 6.8164, 4 -> 1
d : -8.6872, 4 -> 1
a : 1.8030, 5 -> 2
b : 3.9619, 5 -> 7
c : -9.8866, 5 -> 3
d : -4.6880, 5 -> 1
a : -1.5325, 6 -> 6
b : 5.2928, 6 -> 2
c : 8.1713, 6 -> 4
d : 0.0688, 6 -> 7
a : 1.7868, 7 -> 5
b : 4.7195, 7 -> 2
c : 6.8115, 7 -> 5
d : 6.3178, 7 -> 2
d : -8.0073, 0 -> 7
b : -5.5768, 0 -> 7
b : 5.0577, 1 -> 3
d : -7.2433, 1 -> 7
d : 2.2543, 2 -> 0
d : -8.7677, 2 -> 7
d : 8.4982, 3 -> 2
a : -1.1242, 3 -> 2
c : 0.6321, 4 -> 0
a : 1.0684, 4 -> 7
a : 3.3557, 5 -> 7
d : 4.2607, 5 -> 6
d : -1.1183, 6 -> 7
c : 9.1099, 6 -> 4
c : -5.5417, 7 -> 0
d : -6.7017, 7 -> 0
