a : -4.3108, 0 -> 6
b : 6.3006, 0 -> 1
c : -8.1113, 0 -> 7
d : -8.4748, 0 -> 2
a : 6.5727, 1 -> 6
b : -3.8159, 1 -> 7
c : -9.8437, 1 -> 7
d : 7.6857, 1 -> 4
a : 4.5743, 2 -> 3
b : 0.2544, 2 -> 2
c : 1.9341, 2 -> 6
d : 9.2697, 2 -> 4
a : -8.2465, 3 -> 2
b : -4.9138, 3 -> 5
c : 0.2817, 3 -> 4
d : -3.4640, 3 -> 6
a : 1.4276, 4 -> 1
b : -7.3524, 4 -> 3
c : 0.5313, 4 -> 1
d : -4.0036, 4 -> 0
a : 1.4412, 5 -> 4
b : -2.6072, 5 -> 3
c : 1.3193, 5 -> 4
d : -0.6531, 5 -> 2
a : -9.3757, 6 -> 5
b : -4.2420, 6 -> 0
c : 1.1794, 6 -> 3
d : 2.4739, 6 -> 4
a : -0.3795, 7 -> 1
b : -3.2529, 7 -> 2
c : -9.2314, 7 -> 7
d : -2.0506, 7 -> 6
c : 8.2438, 0 -> 1
d : -5.1508, 0 -> 5
c : -3.5493, 1 -> 2
c : 0.1730, 1 -> 2
b : 0.4174, 2 -> 2
d : -4.5336, 2 -> 6
b : -0.8386, 3 -> 5
a : 6.6818, 3 -> 6
b : 8.7750, 4 -> 2
d : -3.3133, 4 -> 3
d : -0.9446, 5 -> 0
a : -7.5899, 5 -> 6
c : -9.4400, 6 -> 6
a : 3.4520, 6 -> 3
c : 1.6173, 7 -> 7
a : 6.2369, 7 -> 7
