a : 2.0320, 0 -> 0
b : 9.2642, 0 -> 3
c : 8.7099, 0 -> 7
d : 8.0620, 0 -> 7
a : 4.6793, 1 -> 7
b : 1.5753, 1 -> 3
c : 2.9393, 1 -> 1
d : -3.6294, 1 -> 1
a : -0.9242, 2 -> 1
b : -3.3102, 2 -> 7
c : 3.5025, 2 -> 3
d : -9.3965, 2 -> 3
a : -2.3785, 3 -> 1
b : 3.4196, 3 -> 7
c : 2.9208, 3 -> 6
d : -0.0451, 3 -> 3
a : -5.4799, 4 -> 3
b : -7.3006, 4 -> 7
c : 7.8928, 4 -> 7
d : -8.3146, 4 -> 7
a : 5.1598, 5 -> 3
b : 8.8577, 5 -> 1
c : -6.6316, 5 -> 4
d : 2.6195, 5 -> 3
a : 5.4217, 6 -> 0
b : -7.8404, 6 -> 6
c : -4.6689, 6 -> 2
d : 6.2603, 6 -> 3
a : -3.0304, 7 -> 2
b : -1.6038, 7 -> 5
c : -1.6001, 7 -> 6
d : 0.0137, 7 -> 6
c : 9.1301, 0 -> 1
c : 6.6090, 0 -> 3
a : 2.0082, 1 -> 5
d : -7.0846, 1 -> 7
c : -4.6231, 2 -> 4
c : -6.3484, 2 -> 1
a : 9.7073, 3 -> 1
c : -9.3302, 3 -> 7
c : 5.0824, 4 -> 2
a : 3.7129, 4 -> 7
d : -2.4959, 5 -> 1
c : -5.1575, 5 -> 2
b : -1.8457, 6 -> 5
b : -2.7820, 6 -> 1
c : 6.0292, 7 -> 3
a : 3.6937, 7 -> 4
