a : -2.1282, 0 -> 3
b : -4.5547, 0 -> 5
c : 6.8472, 0 -> 4
d : -6.6512, 0 -> 6
a : -5.4540, 1 -> 7
b : -5.5698, 1 -> 6
c : -0.8402, 1 -> 2
d : -2.4429, 1 -> 7
a : 5.4303, 2 -> 1
b : 3.5101, 2 -> 2
c : 0.4370, 2 -> 7
d : 2.8245, 2 -> 6
a : -6.4915, 3 -> 4
b : 5.9580, 3 -> 6
c : -9.5178, 3 -> 4
d : 9.1459, 3 -> 3
a : 2.9814, 4 -> 1
b : -9.5793, 4 -> 1
c : 8.0844, 4 -> 3
d : 6.6084, 4 -> 3
a : -5.4749, 5 -> 4
b : 2.2734, 5 -> 4
c : -1.0015, 5 -> 0
d : 0.1382, 5 -> 0
a : 7.4538, 6 -> 3
b : 4.8376, 6 -> 7
c : -0.8524, 6 -> 7
d : 3.5853, 6 -> 2
a : -6.7063, 7 -> 7
b : 5.0030, 7 -> 7
c : -1.9341, 7 -> 3
d : 3.1398, 7 -> 0
c : -4.1480, 0 -> 6
b : -6.5446, 0 -> 6
c : -5.8681, 1 -> 6
d : 5.2749, 1 -> 0
a : -3.9408, 2 -> 0
b : 0.5184, 2 -> 4
c : 6.8659, 3 -> 2
d : -9.7329, 3 -> 1
d : 9.3885, 4 -> 0
b : 4.5171, 4 -> 7
c : -2.9097, 5 -> 0
c : -9.7707, 5 -> 2
a : 3.3048, 6 -> 4
c : -2.2708, 6 -> 7
a : -6.3341, 7 -> 1
c : -7.6598, 7 -> 3
