a : -7.6785, 0 -> 5
b : -3.3871, 0 -> 1
c : 0.7655, 0 -> 3
d : 5.2923, 0 -> 4
a : -0.0797, 1 -> 0
b : 9.3385, 1 -> 7
c : 2.5867, 1 -> 7
d : 5.0369, 1 -> 2
a : -3.6567, 2 -> 4
b : 1.8951, 2 -> 1
c : -1.1153, 2 -> 0
d : 5.3212, 2 -> 5
a : 2.9597, 3 -> 1
b : 6.7850, 3 -> 6
c : 7.4582, 3 -> 2
d : -8.4264, 3 -> 2
a : -8.5257, 4 -> 1
b : 4.3168, 4 -> 2
c : -7.7162, 4 -> 5
d : -3.8900, 4 -> 5
a : 1.2295, 5 -> 4
b : 4.1351, 5 -> 5
c : -6.3958, 5 -> 5
d : 1.3223, 5 -> 0
a : -6.3006, 6 -> 4
b : -7.5989, 6 -> 3
c : -1.9644, 6 -> 4
d : -3.2476, 6 -> 3
a : 1.9582, 7 -> 4
b : 5.0717, 7 -> 3
c : -3.8050, 7 -> 0
d : 5.7198, 7 -> 5
c : 6.3600, 0 -> 7
b : -8.0476, 0 -> 0
a : 9.7985, 1 -> 6
b : 0.8636, 1 -> 6
a : -2.9904, 2 -> 3
d : 3.1191, 2 -> 5
d : 7.5237, 3 -> 2
b : -1.9502, 3 -> 3
b : -8.9855, 4 -> 1
a : -7.1460, 4 -> 0
d : 4.4607, 5 -> 2
b : -9.7734, 5 -> 7
a : 3.5931, 6 -> 5
c : 0.5897, 6 -> 7
b : -0.3649, 7 -> 0
b : -1.5466, 7 -> 5
