a : -6.5391, 0 -> 3
b : 1.7772, 0 -> 4
a : -7.3680, 1 -> 3
b : -0.7085, 1 -> 6
a : -4.0649, 2 -> 6
b : 1.0418, 2 -> 2
a : -5.7514, 3 -> 6
b : 7.1944, 3 -> 7
a : 5.1291, 4 -> 1
b : 2.5148, 4 -> 0
a : 5.3260, 5 -> 1
b : 2.4451, 5 -> 0
a : -2.5887, 6 -> 4
b : 7.0840, 6 -> 0
a : -6.7492, 7 -> 7
b : 0.5490, 7 -> 3
a : 6.4459, 0 -> 0
a : 3.4704, 1 -> 7
b : -6.1083, 2 -> 3
a : -3.5990, 3 -> 6
b : 1.1599, 4 -> 3
a : -8.4544, 5 -> 1
b : -4.4361, 6 -> 4
a : -5.6755, 7 -> 4
a : 3.6092, 7 -> 2
b : -0.6577, 1 -> 5
