a : 8.4030, 0 -> 7
b : 2.4177, 0 -> 4
c : 3.8530, 0 -> 3
d : -2.6064, 0 -> 1
a : -2.3863, 1 -> 0
b : -7.1180, 1 -> 5
c : 9.8691, 1 -> 3
d : 8.6401, 1 -> 4
a : -2.4741, 2 -> 5
b : -5.1384, 2 -> 3
c : -7.8738, 2 -> 6
d : 7.2272, 2 -> 4
a : 2.2148, 3 -> 0
b : 0.3153, 3 -> 7
c : -9.6630, 3 -> 2
d : -6.0122, 3 -> 0
a : -6.0789, 4 -> 2
b : -7.6927, 4 -> 5
c : -6.2060, 4 -> 3
d : -5.9616, 4 -> 7
a : 5.1222, 5 -> 6
b : 2.2676, 5 -> 6
c : 3.0024, 5 -> 5
d : -2.3858, 5 -> 0
a : 0.8662, 6 -> 1
b : 1.4252, 6 -> 5
c : -3.0506, 6 -> 5
d : 4.4082, 6 -> 5
a : 5.8815, 7 -> 7
b : -6.7478, 7 -> 0
c : -9.5567, 7 -> 5
d : 7.5193, 7 -> 2
b : 6.1288, 0 -> 7
d : -1.4789, 0 -> 0
b : 9.1960, 1 -> 6
a : 3.9320, 1 -> 7
a : 5.6438, 2 -> 5
b : 5.1636, 2 -> 5
a : -6.7187, 3 -> 5
a : -2.1670, 3 -> 0
b : 0.8527, 4 -> 2
b : 6.5633, 4 -> 5
a : -8.3507, 5 -> 1
b : 1.2083, 5 -> 6
a : -6.7607, 6 -> 7
d : -1.7503, 6 -> 5
d : -4.7628, 7 -> 0
a : -1.1524, 7 -> 3
