a : -0.9695, 0 -> 7
b : -5.6976, 0 -> 6
c : -1.3209, 0 -> 6
d : 2.4622, 0 -> 4
a : -1.0805, 1 -> 7
b : 6.5453, 1 -> 6
c : 1.6090, 1 -> 3
d : 4.0232, 1 -> 7
a : 1.8050, 2 -> 1
b : 6.9755, 2 -> 0
c : 8.0647, 2 -> 0
d : -7.2249, 2 -> 7
a : -9.2814, 3 -> 1
b : -3.0613, 3 -> 4
c : 1.8433, 3 -> 4
d : 2.6417, 3 -> 7
a : -8.7291, 4 -> 7
b : -4.7600, 4 -> 7
c : -9.6829, 4 -> 2
d : 7.7583, 4 -> 7
a : -0.7332, 5 -> 0
b : 5.5441, 5 -> 5
c : -2.4957, 5 -> 5
d : -7.0598, 5 -> 5
a : -4.2921, 6 -> 5
b : 4.7184, 6 -> 5
c : 0.8365, 6 -> 2
d : -5.6324, 6 -> 0
a : 3.3475, 7 -> 5
b : 2.3983, 7 -> 6
c : -7.0184, 7 -> 5
d : 9.8734, 7 -> 3
b : 5.8650, 0 -> 2
d : 8.3197, 0 -> 6
a : -4.7674, 1 -> 3
c : 6.1528, 1 -> 5
d : 7.1481, 2 -> 3
a : -2.5133, 2 -> 6
c : 9.8009, 3 -> 6
b : 2.7150, 3 -> 1
b : 3.2259, 4 -> 5
d : 4.3157, 4 -> 1
c : -5.8213, 5 -> 7
b : -5.4570, 5 -> 2
b : -8.0402, 6 -> 1
c : -9.8321, 6 -> 7
a : -6.7229, 7 -> 0
a : 9.4636, 7 -> 1
