a : -4.1923, 0 -> 3
b : -3.3286, 0 -> 4
c : 5.4388, 0 -> 6
d : 1.8079, 0 -> 0
a : 5.1464, 1 -> 3
b : -5.9881, 1 -> 2
c : 2.1140, 1 -> 6
d : -0.8451, 1 -> 4
a : -3.4727, 2 -> 6
b : -4.9902, 2 -> 1
c : 7.6818, 2 -> 3
d : 7.2374, 2 -> 2
a : -4.8262, 3 -> 6
b : 8.9546, 3 -> 2
c : -9.7753, 3 -> 4
d : 4.1366, 3 -> 3
a : 3.2323, 4 -> 3
b : 1.8565, 4 -> 0
c : 0.6618, 4 -> 4
d : 1.0845, 4 -> 7
a : 6.0613, 5 -> 0
b : -6.1545, 5 -> 3
c : 9.1982, 5 -> 0
d : 2.6385, 5 -> 2
a : 1.2985, 6 -> 0
b : 7.8140, 6 -> 4
c : -1.8959, 6 -> 1
d : 6.0468, 6 -> 0
a : 0.2754, 7 -> 6
b : -2.7839, 7 -> 3
c : -9.5848, 7 -> 2
d : -5.0606, 7 -> 4
c : 4.1298, 0 -> 0
c : 4.6105, 0 -> 1
b : -1.5682, 1 -> 0
b : 2.3595, 1 -> 1
b : 8.2706, 2 -> 7
c : -5.5971, 2 -> 1
c : 0.9156, 3 -> 6
b : -7.1704, 3 -> 3
a : -0.8996, 4 -> 3
b : -3.4717, 4 -> 3
c : -5.8925, 5 -> 7
d : -4.0776, 5 -> 3
b : -5.0208, 6 -> 1
c : -7.6414, 6 -> 5
d : 2.8958, 7 -> 5
a : -7.1145, 7 -> 6
