a : 2.6143, 0 -> 5
b : 2.8780, 0 -> 5
c : -3.5930, 0 -> 3
d : 8.2742, 0 -> 0
a : -2.1786, 1 -> 3
b : 7.7671, 1 -> 7
c : 5.6484, 1 -> 2
d : 7.0094, 1 -> 3
a : 0.9442, 2 -> 0
b : -0.1041, 2 -> 3
c : -7.1992, 2 -> 6
d : -7.6409, 2 -> 1
a : 5.5204, 3 -> 0
b : 7.1383, 3 -> 1
c : -2.2487, 3 -> 3
d : -0.0414, 3 -> 7
a : 6.5223, 4 -> 0
b : -0.2216, 4 -> 4
c : 7.3719, 4 -> 5
d : -7.6321, 4 -> 3
a : -5.7881, 5 -> 7
b : -3.2379, 5 -> 3
c : -1.0210, 5 -> 6
d : -7.7130, 5 -> 4
a : -3.0103, 6 -> 0
b : 5.0789, 6 -> 7
c : -7.7720, 6 -> 4
d : -4.8201, 6 -> 7
a : -8.4164, 7 -> 0
b : -8.8676, 7 -> 7
c : 1.9262, 7 -> 2
d : -1.7045, 7 -> 5
c : 9.9698, 0 -> 7
a : -8.3564, 0 -> 1
d : -5.4172, 1 -> 3
b : 2.7494, 1 -> 7
b : 6.0824, 2 -> 0
b : -9.4873, 2 -> 6
a : -0.4583, 3 -> 3
b : -0.9810, 3 -> 3
d : -1.9905, 4 -> 5
c : 8.9162, 4 -> 3
d : -4.4236, 5 -> 7
c : 2.6094, 5 -> 7
d : 0.7461, 6 -> 3
d : 5.2020, 6 -> 0
d : -1.5444, 7 -> 2
b : -0.0364, 7 -> 0
