a : -4.0343, 0 -> 2
b : -2.4698, 0 -> 5
c : -5.7444, 0 -> 3
d : -6.9631, 0 -> 4
a : -3.2343, 1 -> 1
b : -7.1641, 1 -> 6
c : -6.0891, 1 -> 3
d : 5.6451, 1 -> 2
a : 0.8283, 2 -> 0
b : -1.9127, 2 -> 6
c : -5.6995, 2 -> 5
d : -2.0412, 2 -> 4
a : -1.7468, 3 -> 4
b : -4.8872, 3 -> 7
c : -0.8462, 3 -> 4
d : 0.9571, 3 -> 3
a : 7.3493, 4 -> 1
b : 0.3289, 4 -> 6
c : -9.5451, 4 -> 2
d : -8.8270, 4 -> 5
a : 2.9581, 5 -> 7
b : 0.7813, 5 -> 2
c : 6.8008, 5 -> 3
d : 7.4220, 5 -> 1
a : -8.2861, 6 -> 7
b : -1.9600, 6 -> 4
c : 2.6732, 6 -> 5
d : -5.8304, 6 -> 1
a : 6.2689, 7 -> 3
b : 5.4026, 7 -> 3
c : -3.4317, 7 -> 1
d : 3.2705, 7 -> 0
b : -8.4261, 0 -> 1
d : -3.7899, 0 -> 2
c : 7.8517, 1 -> 3
a : 3.3729, 1 -> 0
d : -1.8416, 2 -> 5
d : -7.1936, 2 -> 0
b : -5.8136, 3 -> 6
c : -0.7025, 3 -> 6
a : 3.0535, 4 -> 4
d : -2.0570, 4 -> 2
c : 4.8409, 5 -> 1
a : -9.7786, 5 -> 3
b : -6.4242, 6 -> 0
a : -8.8323, 6 -> 4
c : -1.5563, 7 -> 1
a : -3.4797, 7 -> 1
