a : 3.1763, 0 -> 6
b : -0.7700, 0 -> 6
c : -0.3116, 0 -> 3
d : 2.5751, 0 -> 3
a : -8.8409, 1 -> 3
b : -3.8251, 1 -> 7
c : -4.3239, 1 -> 2
d : 0.8241, 1 -> 2
a : -9.5732, 2 -> 3
b : -7.5970, 2 -> 4
c : 0.2202, 2 -> 1
d : -1.2825, 2 -> 1
a : 6.7563, 3 -> 1
b : 1.0509, 3 -> 7
c : -7.8068, 3 -> 7
d : -0.5579, 3 -> 1
a : 3.1341, 4 -> 0
b : -9.0724, 4 -> 0
c : -2.8920, 4 -> 6
d : 8.7581, 4 -> 0
a : -2.5180, 5 -> 7
b : 4.3393, 5 -> 1
c : 4.7255, 5 -> 3
d : -9.7926, 5 -> 0
a : 4.3289, 6 -> 3
b : 5.7380, 6 -> 0
c : -0.3507, 6 -> 3
d : 3.0017, 6 -> 3
a : -1.1974, 7 -> 5
b : -3.5139, 7 -> 4
c : -0.2429, 7 -> 0
d : -2.0019, 7 -> 4
c : -5.4532, 0 -> 4
a : 5.2142, 0 -> 5
c : 2.6492, 1 -> 6
c : 1.8300, 1 -> 4
a : 8.3233, 2 -> 3
c : 5.8323, 2 -> 0
c : -6.7721, 3 -> 0
b : -0.9399, 3 -> 5
c : -5.1314, 4 -> 7
b : 8.1681, 4 -> 6
c : 3.3629, 5 -> 5
b : 5.5710, 5 -> 3
a : -1.1560, 6 -> 3
c : 8.7077, 6 -> 6
a : -6.5225, 7 -> 7
a : 8.7691, 7 -> 0
