a : -6.1988, 0 -> 7
b : -3.8952, 0 -> 5
c : 5.9996, 0 -> 2
d : 5.8875, 0 -> 0
a : -6.1813, 1 -> 0
b : -3.5979, 1 -> 7
c : -2.8858, 1 -> 2
d : -9.3790, 1 -> 3
a : 9.7929, 2 -> 7
b : 1.0637, 2 -> 7
c : -8.9228, 2 -> 2
d : -4.5524, 2 -> 7
a : 1.8396, 3 -> 1
b : -7.9480, 3 -> 4
c : 9.5360, 3 -> 2
d : -8.3888, 3 -> 7
a : -4.3060, 4 -> 2
b : 3.6423, 4 -> 6
c : -6.5710, 4 -> 6
d : -5.5439, 4 -> 4
a : 0.9622, 5 -> 7
b : 8.3224, 5 -> 5
c : 5.6502, 5 -> 0
d : 8.4136, 5 -> 5
a : 5.0346, 6 -> 4
b : -3.2167, 6 -> 4
c : -7.7384, 6 -> 4
d : -9.7604, 6 -> 3
a : 0.1612, 7 -> 4
b : -6.8726, 7 -> 0
c : 8.2420, 7 -> 7
d : 4.0713, 7 -> 5
c : -1.9746, 0 -> 0
c : 9.7795, 0 -> 4
c : -2.9485, 1 -> 5
d : -9.5598, 1 -> 3
d : 6.4377, 2 -> 4
c : -6.8278, 2 -> 6
b : -4.8147, 3 -> 5
b : -3.4927, 3 -> 4
a : 5.1789, 4 -> 3
d : -8.8808, 4 -> 5
d : 3.7563, 5 -> 3
b : -3.2787, 5 -> 2
a : 4.3162, 6 -> 4
a : -0.7451, 6 -> 3
d : 1.6182, 7 -> 4
d : 8.3357, 7 -> 7
