a : 9.4005, 0 -> 7
b : -0.9699, 0 -> 2
c : 8.7695, 0 -> 7
d : 9.4222, 0 -> 2
a : -1.1179, 1 -> 7
b : 5.6466, 1 -> 6
c : -3.9790, 1 -> 2
d : -8.1381, 1 -> 3
a : -7.3571, 2 -> 4
b : 7.1942, 2 -> 4
c : -5.6313, 2 -> 7
d : 2.0907, 2 -> 5
a : -8.1656, 3 -> 6
b : 6.1896, 3 -> 7
c : 1.5886, 3 -> 3
d : -3.3845, 3 -> 4
a : 7.2927, 4 -> 7
b : 7.0747, 4 -> 1
c : 3.2866, 4 -> 7
d : 9.9786, 4 -> 4
a : -5.1582, 5 -> 5
b : -0.7844, 5 -> 6
c : 5.1896, 5 -> 2
d : 9.8250, 5 -> 1
a : -0.7660, 6 -> 4
b : -4.6738, 6 -> 7
c : 4.5724, 6 -> 7
d : 0.7003, 6 -> 3
a : -0.4246, 7 -> 5
b : 9.4489, 7 -> 5
c : -3.5117, 7 -> 4
d : 0.2398, 7 -> 7
d : -1.8580, 0 -> 7
b : -2.7696, 0 -> 5
d : 7.9206, 1 -> 7
a : -6.4988, 1 -> 2
c : 7.0172, 2 -> 3
b : 6.1744, 2 -> 2
d : -9.3430, 3 -> 5
d : -7.4111, 3 -> 6
b : -0.0020, 4 -> 6
d : 8.7764, 4 -> 5
a : 0.6146, 5 -> 4
b : 7.1219, 5 -> 6
a : -8.2262, 6 -> 3
d : -2.3513, 6 -> 2
d : 4.8776, 7 -> 6
d : 2.6746, 7 -> 2
