a : -8.4635, 0 -> 0
b : 3.1649, 0 -> 4
c : -6.3727, 0 -> 5
d : 2.0711, 0 -> 3
a : -3.6516, 1 -> 2
b : -8.0644, 1 -> 1
c : -6.6465, 1 -> 0
d : -9.9892, 1 -> 7
a : -5.0503, 2 -> 0
b : 3.1055, 2 -> 1
c : -6.5298, 2 -> 3
d : 6.4607, 2 -> 3
a : -5.4302, 3 -> 2
b : -6.0393, 3 -> 5
c : -2.6147, 3 -> 5
d : 2.3353, 3 -> 0
a : 0.0957, 4 -> 7
b : 7.5977, 4 -> 0
c : 1.1298, 4 -> 0
d : 3.8335, 4 -> 3
a : -1.5427, 5 -> 0
b : -7.1013, 5 -> 6
c : -8.6905, 5 -> 5
d : -8.7684, 5 -> 1
a : 4.7829, 6 -> 7
b : -6.6751, 6 -> 5
c : -2.7444, 6 -> 3
d : -8.8204, 6 -> 7
a : -5.1955, 7 -> 4
b : 4.9582, 7 -> 7
c : 2.0971, 7 -> 3
d : -0.9395, 7 -> 4
c : 3.2108, 0 -> 1
a : -1.9386, 0 -> 4
c : -7.6595, 1 -> 0
c : -6.6447, 1 -> 6
c : 7.5864, 2 -> 3
a : -4.9082, 2 -> 4
c : -2.2544, 3 -> 5
b : 8.4873, 3 -> 4
d : -1.9438, 4 -> 7
b : -0.1840, 4 -> 2
a : -5.1661, 5 -> 2
b : 1.1752, 5 -> 1
d : 6.7741, 6 -> 3
c : 4.0997, 6 -> 2
a : 9.2070, 7 -> 1
a : 5.9334, 7 -> 5
