a : 1.3508, 0 -> 6
b : -9.3312, 0 -> 2
c : 4.9837, 0 -> 1
d : -2.0846, 0 -> 1
a : -0.7285, 1 -> 5
b : 2.7053, 1 -> 6
c : 4.1973, 1 -> 6
d : 3.9121, 1 -> 7
a : 7.6145, 2 -> 6
b : 1.7126, 2 -> 7
c : -9.3144, 2 -> 3
d : 4.8684, 2 -> 5
a : 3.2027, 3 -> 1
b : -1.8423, 3 -> 7
c : 7.3808, 3 -> 5
d : -6.2044, 3 -> 4
a : -9.5037, 4 -> 7
b : 8.5198, 4 -> 3
c : 6.3951, 4 -> 7
d : 4.7966, 4 -> 7
a : 5.5293, 5 -> 2
b : -4.9606, 5 -> 3
c : 1.8671, 5 -> 3
d : -3.2069, 5 -> 4
a : -9.1060, 6 -> 2
b : -5.6214, 6 -> 2
c : -6.4450, 6 -> 4
d : -9.2124, 6 -> 1
a : 0.2390, 7 -> 2
b : 0.9248, 7 -> 2
c : -3.4474, 7 -> 4
d : -9.2316, 7 -> 5
b : -3.6901, 0 -> 0
d : 5.1995, 0 -> 4
c : 2.9423, 1 -> 3
c : 0.0082, 1 -> 7
c : 6.6249, 2 -> 2
d : -2.2834, 2 -> 2
a : -7.1348, 3 -> 0
b : 8.6462, 3 -> 4
a : 7.1879, 4 -> 1
c : 6.0802, 4 -> 5
c : 5.7139, 5 -> 1
b : 2.4747, 5 -> 5
b : 1.2100, 6 -> 6
c : 2.3668, 6 -> 2
a : 0.0824, 7 -> 0
b : -8.4200, 7 -> 7
