a : -6.7825, 0 -> 3
b : 9.2504, 0 -> 2
c : 2.4516, 0 -> 3
d : -0.8844, 0 -> 0
a : 6.9700, 1 -> 4
b : -3.0356, 1 -> 0
c : 2.5080, 1 -> 1
d : 1.3043, 1 -> 3
a : -8.7403, 2 -> 4
b : -2.3157, 2 -> 6
c : 6.2433, 2 -> 5
d : 6.7347, 2 -> 7
a : -7.4849, 3 -> 1
b : -1.7442, 3 -> 6
c : 9.5077, 3 -> 3
d : -5.1976, 3 -> 2
a : -7.7889, 4 -> 6
b : -5.6809, 4 -> 0
c : 6.4731, 4 -> 1
d : -2.2875, 4 -> 1
a : -2.4183, 5 -> 6
b : 7.9795, 5 -> 7
c : 4.8851, 5 -> 7
d : -6.0970, 5 -> 4
a : 2.2860, 6 -> 0
b : 4.1327, 6 -> 2
c : -6.8843, 6 -> 7
d : 4.0272, 6 -> 2
a : 0.5240, 7 -> 0
b : -1.3097, 7 -> 2
c : -8.1759, 7 -> 5
d : 3.0327, 7 -> 2
b : 9.9412, 0 -> 2
b : -7.3184, 0 -> 6
a : -9.5660, 1 -> 7
c : -4.6573, 1 -> 2
a : -4.1303, 2 -> 0
d : -0.5043, 2 -> 3
a : -4.5818, 3 -> 4
a : -4.8702, 3 -> 4
d : 2.9868, 4 -> 1
d : -5.9339, 4 -> 6
d : 6.2270, 5 -> 6
c : 8.8883, 5 -> 2
d : 5.3067, 6 -> 5
d : -7.0020, 6 -> 2
c : 3.1917, 7 -> 5
d : 4.8150, 7 -> 7
