a : 5.9148, 0 -> 3
b : -0.2962, 0 -> 2
a : 9.7833, 1 -> 2
b : 1.2776, 1 -> 3
a : 7.0922, 2 -> 7
b : 9.2810, 2 -> 1
a : -5.0206, 3 -> 3
b : 3.0229, 3 -> 1
a : 7.3079, 4 -> 4
b : 5.3073, 4 -> 0
a : -9.5677, 5 -> 3
b : 8.1327, 5 -> 0
a : 8.3228, 6 -> 3
b : 0.1785, 6 -> 6
a : 6.8159, 7 -> 5
b : -0.1663, 7 -> 1
b : 4.2915, 0 -> 5
a : 4.9816, 1 -> 2
b : -5.1011, 2 -> 3
a : 0.6705, 3 -> 1
a : 6.6263, 4 -> 1
b : -4.6742, 5 -> 1
b : -0.9672, 6 -> 0
b : -8.8465, 7 -> 1
b : -3.1961, 0 -> 4
b : -4.4971, 7 -> 6
