a : -5.9753, 0 -> 3
b : -6.9872, 0 -> 7
c : 4.0656, 0 -> 6
d : -8.7981, 0 -> 5
a : -7.2938, 1 -> 7
b : 3.0864, 1 -> 3
c : -3.3071, 1 -> 6
d : -2.1034, 1 -> 7
a : 1.5308, 2 -> 5
b : 9.7141, 2 -> 3
c : -9.1104, 2 -> 1
d : -8.6311, 2 -> 2
a : 9.6215, 3 -> 2
b : -2.5528, 3 -> 4
c : -6.1917, 3 -> 1
d : -0.4067, 3 -> 3
a : 2.2418, 4 -> 2
b : 0.2821, 4 -> 6
c : 8.2758, 4 -> 2
d : 9.6122, 4 -> 1
a : -8.6811, 5 -> 7
b : -4.9550, 5 -> 1
c : -5.7924, 5 -> 4
d : -3.3659, 5 -> 6
a : 0.6276, 6 -> 2
b : -5.7248, 6 -> 5
c : 3.1913, 6 -> 6
d : 8.6529, 6 -> 5
a : 3.2294, 7 -> 1
b : 9.4144, 7 -> 2
c : 6.0563, 7 -> 5
d : -8.0563, 7 -> 7
d : 3.0809, 0 -> 5
c : 6.0682, 0 -> 2
b : -8.9118, 1 -> 7
c : 4.4629, 1 -> 0
a : 7.3359, 2 -> 7
c : 7.0348, 2 -> 4
d : -8.3261, 3 -> 4
a : -4.5678, 3 -> 6
d : 7.3915, 4 -> 6
a : -6.1274, 4 -> 5
b : -7.9620, 5 -> 5
d : -1.7507, 5 -> 4
b : -1.1759, 6 -> 5
d : 9.3794, 6 -> 6
c : 7.2911, 7 -> 7
a : -7.9378, 7 -> 6
