a : 9.9977, 0 -> 0
b : -4.2436, 0 -> 5
c : -0.1969, 0 -> 3
d : -1.6202, 0 -> 1
a : 4.1653, 1 -> 6
b : 1.8405, 1 -> 6
c : -4.7091, 1 -> 5
d : 4.7926, 1 -> 5
a : -3.6023, 2 -> 2
b : 8.4927, 2 -> 4
c : -3.4945, 2 -> 0
d : -8.8812, 2 -> 3
a : -1.3612, 3 -> 1
b : -0.0399, 3 -> 4
c : -4.3142, 3 -> 4
d : 8.8973, 3 -> 6
a : 0.7914, 4 -> 5
b : -4.2467, 4 -> 2
c : -2.0758, 4 -> 7
d : -7.1227, 4 -> 4
a : -7.3443, 5 -> 5
b : -9.9535, 5 -> 4
c : -4.0505, 5 -> 5
d : -5.7106, 5 -> 0
a : -4.0904, 6 -> 2
b : -5.1364, 6 -> 1
c : -7.6977, 6 -> 3
d : 5.7216, 6 -> 6
a : 9.3904, 7 -> 3
b : 8.5154, 7 -> 6
c : -3.0912, 7 -> 6
d : 8.6463, 7 -> 5
c : -0.2936, 0 -> 2
d : -6.8805, 0 -> 2
c : -9.2467, 1 -> 3
c : -4.4498, 1 -> 5
d : -7.9206, 2 -> 2
a : 4.9330, 2 -> 3
b : 7.2957, 3 -> 1
d : -9.9242, 3 -> 7
a : 6.3482, 4 -> 0
c : -4.6628, 4 -> 5
d : -8.3988, 5 -> 0
a : 7.2259, 5 -> 6
a : -4.0590, 6 -> 2
d : -3.8300, 6 -> 0
b : -4.4851, 7 -> 6
b : -7.2340, 7 -> 4
