a : -5.9183, 0 -> 2
b : 1.3136, 0 -> 5
a : -7.2111, 1 -> 3
b : 6.7957, 1 -> 5
a : 3.1021, 2 -> 5
b : -1.4448, 2 -> 5
a : 6.6020, 3 -> 4
b : 7.9317, 3 -> 3
a : -4.5906, 4 -> 1
b : -1.7385, 4 -> 1
a : 8.6593, 5 -> 4
b : -2.3331, 5 -> 5
a : -5.1885, 6 -> 4
b : -1.7374, 6 -> 0
a : 5.5929, 7 -> 6
b : -5.2540, 7 -> 7
a : -9.9811, 0 -> 3
b : -7.8171, 1 -> 2
b : -7.1657, 2 -> 5
a : 9.3681, 3 -> 2
b : -8.7196, 4 -> 2
b : -0.0468, 5 -> 0
b : 7.3355, 6 -> 2
a : -0.5249, 7 -> 2
a : 0.0278, 5 -> 6
b : -9.3936, 3 -> 7
