a : 9.1473, 0 -> 7
b : -1.6147, 0 -> 2
c : 7.0449, 0 -> 3
d : 5.5624, 0 -> 2
a : 2.1311, 1 -> 2
b : 0.7950, 1 -> 0
c : 5.8172, 1 -> 7
d : 7.0431, 1 -> 3
a : 7.4881, 2 -> 1
b : -3.0350, 2 -> 0
c : 9.0699, 2 -> 2
d : -4.0849, 2 -> 3
a : 8.4090, 3 -> 2
b : 7.3039, 3 -> 4
c : -8.8476, 3 -> 6
d : 5.1955, 3 -> 4
a : 8.1805, 4 -> 2
b : 6.3737, 4 -> 5
c : -1.6383, 4 -> 1
d : 9.4595, 4 -> 5
a : -8.8220, 5 -> 3
b : 9.5316, 5 -> 7
c : 6.4518, 5 -> 3
d : -4.6672, 5 -> 5
a : -5.4261, 6 -> 1
b : -1.9330, 6 -> 1
c : -7.1634, 6 -> 2
d : -6.0283, 6 -> 5
a : -0.5589, 7 -> 1
b : 6.2155, 7 -> 4
c : 5.4488, 7 -> 2
d : -3.5061, 7 -> 0
d : 4.5433, 0 -> 3
a : 4.2638, 0 -> 7
a : -2.9270, 1 -> 5
b : 0.5423, 1 -> 7
c : 7.0212, 2 -> 2
b : 0.6972, 2 -> 1
b : 9.1491, 3 -> 0
b : 8.3438, 3 -> 4
b : -8.9383, 4 -> 7
b : 7.9991, 4 -> 4
a : -6.1030, 5 -> 4
b : 1.3512, 5 -> 2
c : -4.6467, 6 -> 6
b : -3.3535, 6 -> 4
c : 8.2790, 7 -> 0
c : -8.5560, 7 -> 6
