a : -7.6915, 0 -> 2
b : -0.7889, 0 -> 2
c : -0.0262, 0 -> 2
d : 4.6259, 0 -> 1
a : 9.0671, 1 -> 2
b : -1.9767, 1 -> 2
c : -8.6342, 1 -> 4
d : -6.9128, 1 -> 4
a : 2.6066, 2 -> 2
b : 1.2399, 2 -> 4
c : -8.2037, 2 -> 0
d : 7.7546, 2 -> 7
a : -4.7447, 3 -> 3
b : 9.2419, 3 -> 5
c : 4.7328, 3 -> 1
d : 3.3786, 3 -> 6
a : 2.3583, 4 -> 7
b : 5.6348, 4 -> 6
c : -9.6045, 4 -> 2
d : -8.3526, 4 -> 0
a : -0.0246, 5 -> 0
b : 9.1568, 5 -> 0
c : 1.9684, 5 -> 0
d : 1.5780, 5 -> 6
a : 4.6839, 6 -> 0
b : -9.6733, 6 -> 2
c : -1.1745, 6 -> 0
d : 3.1924, 6 -> 7
a : 6.7334, 7 -> 2
b : 5.4466, 7 -> 2
c : -5.6871, 7 -> 5
d : -1.9642, 7 -> 3
c : -3.4254, 0 -> 0
c : 1.9523, 0 -> 7
c : 6.7068, 1 -> 7
b : 6.6565, 1 -> 5
d : 5.5422, 2 -> 3
a : 2.6426, 2 -> 1
d : 1.3557, 3 -> 3
d : 9.7513, 3 -> 3
c : -1.6812, 4 -> 7
d : -3.0632, 4 -> 2
a : 6.5127, 5 -> 6
d : -0.4820, 5 -> 6
a : -8.2717, 6 -> 3
a : 6.8625, 6 -> 6
b : -6.1627, 7 -> 4
b : -5.1422, 7 -> 7
