a : -1.6946, 0 -> 3
b : 7.7355, 0 -> 4
c : 1.2946, 0 -> 2
d : 8.8179, 0 -> 1
a : -6.1774, 1 -> 2
b : 5.2427, 1 -> 1
c : 6.1467, 1 -> 3
d : -2.0112, 1 -> 2
a : 0.3666, 2 -> 5
b : 9.7075, 2 -> 7
c : -8.5484, 2 -> 3
d : 6.6502, 2 -> 7
a : 7.5574, 3 -> 2
b : 2.1258, 3 -> 3
c : 7.8596, 3 -> 6
d : 7.7785, 3 -> 0
a : 8.2740, 4 -> 0
b : -0.6656, 4 -> 5
c : -0.0320, 4 -> 7
d : -9.4613, 4 -> 2
a : 9.3544, 5 -> 7
b : -4.2748, 5 -> 5
c : -8.4439, 5 -> 3
d : -0.5313, 5 -> 6
a : 5.5195, 6 -> 5
b : -0.3210, 6 -> 6
c : -6.5149, 6 -> 6
d : -0.4352, 6 -> 1
a : -6.3315, 7 -> 4
b : -4.7480, 7 -> 2
c : -3.9055, 7 -> 7
d : 9.8883, 7 -> 6
c : 5.7043, 0 -> 5
c : 8.2547, 0 -> 4
a : -8.2813, 1 -> 5
a : -4.6389, 1 -> 7
c : -0.5603, 2 -> 5
c : 0.7867, 2 -> 5
b : -6.0970, 3 -> 7
a : -4.9708, 3 -> 6
c : 0.6698, 4 -> 3
a : -6.6136, 4 -> 5
d : 5.5067, 5 -> 7
c : -3.0803, 5 -> 3
d : 9.0018, 6 -> 5
a : -5.8843, 6 -> 6
b : 4.1837, 7 -> 5
b : 4.3186, 7 -> 5
