a : 1.9990, 0 -> 2
b : 1.6243, 0 -> 2
a : -5.1662, 1 -> 1
b : -1.5070, 1 -> 1
a : 3.3136, 2 -> 3
b : -1.0684, 2 -> 2
a : -6.1767, 3 -> 4
b : -7.8845, 3 -> 1
a : -4.9133, 4 -> 4
b : 8.5326, 4 -> 7
a : -4.5269, 5 -> 4
b : -9.0421, 5 -> 3
a : 8.2128, 6 -> 5
b : -1.0366, 6 -> 3
a : 6.9199, 7 -> 4
b : 5.9037, 7 -> 2
b : -5.3758, 0 -> 2
a : 5.4259, 1 -> 7
b : 8.7173, 2 -> 2
b : -3.3281, 3 -> 0
a : 8.2648, 4 -> 7
a : 2.5628, 5 -> 0
b : 3.8718, 6 -> 1
a : 0.3550, 7 -> 1
b : -2.4894, 0 -> 5
a : 5.0098, 2 -> 6
