a : 4.3826, 0 -> 3
b : 1.3884, 0 -> 7
c : 5.1585, 0 -> 4
d : -0.0222, 0 -> 1
a : -9.6218, 1 -> 7
b : -8.0404, 1 -> 7
c : -1.8968, 1 -> 3
d : -1.9543, 1 -> 7
a : -1.2644, 2 -> 1
b : -9.7743, 2 -> 6
c : -9.7919, 2 -> 0
d : -7.7407, 2 -> 6
a : -2.8092, 3 -> 6
b : 7.2329, 3 -> 0
c : -1.9571, 3 -> 6
d : 6.4861, 3 -> 4
a : -3.2015, 4 -> 3
b : -4.1149, 4 -> 5
c : -7.8974, 4 -> 5
d : 5.0107, 4 -> 0
a : 1.2689, 5 -> 3
b : -5.0112, 5 -> 1
c : 6.1952, 5 -> 3
d : -6.8991, 5 -> 6
a : 0.6085, 6 -> 3
b : -5.9706, 6 -> 7
c : 2.0993, 6 -> 6
d : 3.4393, 6 -> 4
a : -9.0307, 7 -> 0
b : 6.9347, 7 -> 0
c : 0.8605, 7 -> 5
d : 8.3120, 7 -> 1
a : -1.4509, 0 -> 3
b : -7.3131, 0 -> 2
d : 1.7140, 1 -> 0
b : 5.8995, 1 -> 7
c : 6.5015, 2 -> 0
a : -1.5799, 2 -> 6
c : -8.3949, 3 -> 4
a : 4.7263, 3 -> 6
d : -3.0880, 4 -> 2
a : 7.4859, 4 -> 6
d : -8.7068, 5 -> 3
b : 8.0907, 5 -> 0
a : 1.9786, 6 -> 7
a : 0.4622, 6 -> 7
a : 2.6653, 7 -> 4
d : 9.6771, 7 -> 0
