a : 6.8670, 0 -> 4
b : -0.9619, 0 -> 0
c : 6.7560, 0 -> 6
d : -7.9707, 0 -> 7
a : 2.3505, 1 -> 4
b : -1.5128, 1 -> 3
c : 6.1875, 1 -> 2
d : -5.8214, 1 -> 3
a : -0.6594, 2 -> 4
b : -1.9087, 2 -> 3
c : -4.9064, 2 -> 0
d : -2.9432, 2 -> 2
a : -0.7533, 3 -> 5
b : -1.5369, 3 -> 6
c : -7.2613, 3 -> 5
d : -3.7403, 3 -> 6
a : 9.0380, 4 -> 6
b : 7.7045, 4 -> 2
c : 9.5893, 4 -> 2
d : 4.2402, 4 -> 7
a : -1.5584, 5 -> 5
b : -1.6100, 5 -> 3
c : -2.4088, 5 -> 1
d : 7.4464, 5 -> 1
a : -9.0989, 6 -> 5
b : 6.4108, 6 -> 4
c : 2.4834, 6 -> 6
d : -2.9594, 6 -> 4
a : 9.9657, 7 -> 6
b : -0.9484, 7 -> 3
c : -4.2454, 7 -> 3
d : 7.7225, 7 -> 5
a : 3.1883, 0 -> 0
c : 0.6997, 0 -> 1
c : -1.3744, 1 -> 4
c : -7.0255, 1 -> 4
c : 3.8225, 2 -> 0
d : -7.0469, 2 -> 6
d : -4.0094, 3 -> 5
a : 0.8294, 3 -> 2
a : -0.1458, 4 -> 5
b : 2.8018, 4 -> 7
a : 4.3080, 5 -> 2
c : 1.0410, 5 -> 2
d : -2.2668, 6 -> 3
b : 7.2208, 6 -> 6
a : 6.9601, 7 -> 5
c : 7.0111, 7 -> 0
