a : 6.6064, 0 -> 3
b : 8.8961, 0 -> 2
c : -4.7039, 0 -> 5
d : -4.0401, 0 -> 4
a : -5.4098, 1 -> 3
b : 5.5499, 1 -> 1
c : -0.8908, 1 -> 6
d : -8.8521, 1 -> 2
a : -8.8119, 2 -> 6
b : -1.4565, 2 -> 1
c : -6.6460, 2 -> 1
d : 0.1317, 2 -> 6
a : 4.4253, 3 -> 0
b : -5.4820, 3 -> 1
c : 8.0159, 3 -> 5
d : -7.1966, 3 -> 3
a : -0.2250, 4 -> 4
b : -7.8593, 4 -> 4
c : -1.7704, 4 -> 6
d : 1.5171, 4 -> 6
a : -5.6330, 5 -> 1
b : -2.1950, 5 -> 6
c : 2.5628, 5 -> 7
d : 3.7342, 5 -> 6
a : 2.4781, 6 -> 1
b : -7.1923, 6 -> 1
c : 1.9982, 6 -> 7
d : -4.5512, 6 -> 3
a : 4.7784, 7 -> 7
b : -9.7642, 7 -> 5
c : -8.6674, 7 -> 3
d : 4.9914, 7 -> 0
c : 2.7328, 0 -> 7
d : 2.6789, 0 -> 1
b : -1.5073, 1 -> 0
b : 7.6743, 1 -> 4
b : -1.4918, 2 -> 0
d : -3.3653, 2 -> 6
d : 8.5142, 3 -> 6
b : -6.5241, 3 -> 0
d : 4.1701, 4 -> 0
d : 9.1928, 4 -> 0
d : -5.4064, 5 -> 7
b : -3.4717, 5 -> 0
d : -5.6722, 6 -> 1
b : 1.3748, 6 -> 3
b : -5.5741, 7 -> 5
b : -1.3279, 7 -> 1
