a : 6.2630, 0 -> 2
b : 9.2895, 0 -> 5
c : -0.8806, 0 -> 7
d : -0.1760, 0 -> 0
a : 1.3418, 1 -> 0
b : -6.8133, 1 -> 0
c : 6.6182, 1 -> 5
d : -4.5273, 1 -> 7
a : 0.0215, 2 -> 7
b : -5.1839, 2 -> 1
c : 5.5682, 2 -> 5
d : 1.3061, 2 -> 4
a : -9.7232, 3 -> 4
b : -0.8930, 3 -> 0
c : 1.4213, 3 -> 5
d : -1.4475, 3 -> 7
a : 0.9777, 4 -> 6
b : -7.0032, 4 -> 7
c : -7.1908, 4 -> 3
d : -3.1834, 4 -> 2
a : -1.3981, 5 -> 7
b : 4.9449, 5 -> 7
c : -9.6177, 5 -> 0
d : 4.3989, 5 -> 4
a : -8.8317, 6 -> 7
b : 3.8780, 6 -> 6
c : 9.4575, 6 -> 2
d : -6.4952, 6 -> 7
a : 8.0582, 7 -> 7
b : 5.9659, 7 -> 3
c : -5.0901, 7 -> 3
d : 0.0905, 7 -> 7
d : -2.7712, 0 -> 6
b : 1.9688, 0 -> 1
a : -5.7183, 1 -> 3
c : -6.7259, 1 -> 6
d : 2.4755, 2 -> 0
c : 4.9455, 2 -> 5
a : 6.0313, 3 -> 0
b : 1.2394, 3 -> 4
b : -8.2553, 4 -> 1
c : 3.9418, 4 -> 3
c : 5.4980, 5 -> 4
a : 4.8759, 5 -> 1
a : 6.9652, 6 -> 7
c : 0.9077, 6 -> 3
c : 9.1533, 7 -> 6
d : 6.6679, 7 -> 0
