a : -4.5409, 0 -> 0
b : 8.3760, 0 -> 1
c : 2.3272, 0 -> 1
d : 3.9400, 0 -> 4
a : -9.4143, 1 -> 0
b : 0.9913, 1 -> 1
c : 4.8220, 1 -> 1
d : 5.2722, 1 -> 0
a : 0.7891, 2 -> 7
b : -3.7041, 2 -> 2
c : -1.1473, 2 -> 2
d : 2.7804, 2 -> 6
a : -1.5096, 3 -> 7
b : 6.9437, 3 -> 2
c : -9.8013, 3 -> 3
d : 7.0954, 3 -> 1
a : 8.9556, 4 -> 2
b : -8.6330, 4 -> 5
c : 7.1661, 4 -> 4
d : 9.2584, 4 -> 7
a : 2.1843, 5 -> 5
b : -6.8674, 5 -> 2
c : 0.3726, 5 -> 0
d : 6.0040, 5 -> 2
a : 8.0579, 6 -> 7
b : -3.6006, 6 -> 5
c : 8.3869, 6 -> 6
d : -8.5910, 6 -> 3
a : -5.9457, 7 -> 3
b : 3.2130, 7 -> 6
c : -8.3075, 7 -> 6
d : -2.8487, 7 -> 2
b : 4.9039, 0 -> 3
a : -0.8242, 0 -> 6
a : 5.2392, 1 -> 5
a : -5.4015, 1 -> 5
b : 4.6589, 2 -> 2
a : 5.5942, 2 -> 1
b : -7.5874, 3 -> 3
d : 4.6369, 3 -> 1
d : 7.7071, 4 -> 7
c : -2.8720, 4 -> 4
b : 3.2949, 5 -> 6
b : 7.0781, 5 -> 4
b : -6.3076, 6 -> 3
a : -7.1241, 6 -> 4
c : 6.9166, 7 -> 2
c : -7.0992, 7 -> 7
