a : -7.0409, 0 -> 2
b : 0.7283, 0 -> 0
c : -1.1129, 0 -> 5
d : 2.6112, 0 -> 6
a : 2.9651, 1 -> 2
b : 4.3645, 1 -> 2
c : 9.9029, 1 -> 5
d : -1.6264, 1 -> 5
a : -6.7056, 2 -> 6
b : 2.2839, 2 -> 0
c : 1.2639, 2 -> 2
d : -5.3474, 2 -> 7
a : -7.2599, 3 -> 6
b : -6.0575, 3 -> 0
c : 6.6444, 3 -> 3
d : -2.9080, 3 -> 5
a : 2.2738, 4 -> 7
b : -4.6964, 4 -> 7
c : -9.2495, 4 -> 0
d : 8.1408, 4 -> 6
a : -5.5446, 5 -> 3
b : -9.7343, 5 -> 6
c : -4.9997, 5 -> 4
d : -7.7543, 5 -> 1
a : -0.5061, 6 -> 4
b : -9.7995, 6 -> 5
c : 8.8044, 6 -> 6
d : -7.7299, 6 -> 7
a : 0.5828, 7 -> 6
b : 5.8508, 7 -> 4
c : -7.6494, 7 -> 3
d : 0.2974, 7 -> 0
c : 9.9177, 0 -> 7
b : 5.6180, 0 -> 6
b : -2.2213, 1 -> 5
a : 6.0925, 1 -> 4
c : 6.6637, 2 -> 3
a : 4.3694, 2 -> 3
a : -4.9497, 3 -> 3
d : 5.4676, 3 -> 3
d : 1.0162, 4 -> 0
c : 6.7537, 4 -> 7
d : 1.2443, 5 -> 4
d : -2.9813, 5 -> 7
b : 9.9068, 6 -> 6
a : 7.4891, 6 -> 4
c : -2.2596, 7 -> 4
b : -9.1955, 7 -> 3
