a : -2.4763, 0 -> 6
b : 6.1893, 0 -> 6
c : -9.2810, 0 -> 3
d : 9.2641, 0 -> 2
a : 2.1532, 1 -> 7
b : -2.0405, 1 -> 6
c : 2.4496, 1 -> 1
d : -8.3215, 1 -> 0
a : 0.1197, 2 -> 4
b : 3.1590, 2 -> 2
c : 9.7260, 2 -> 3
d : 3.7436, 2 -> 5
a : -2.5794, 3 -> 0
b : 0.4936, 3 -> 1
c : 3.4963, 3 -> 6
d : 8.3810, 3 -> 1
a : -4.4982, 4 -> 0
b : -0.2193, 4 -> 3
c : -7.1605, 4 -> 1
d : 0.4924, 4 -> 5
a : -9.5231, 5 -> 2
b : -6.0869, 5 -> 0
c : -1.7698, 5 -> 7
d : -9.0992, 5 -> 7
a : 6.8666, 6 -> 0
b : -3.6778, 6 -> 3
c : -6.0803, 6 -> 0
d : 2.7096, 6 -> 6
a : -3.3182, 7 -> 4
b : -7.4927, 7 -> 5
c : 1.0387, 7 -> 6
d : -7.4357, 7 -> 5
a : -8.3779, 0 -> 3
a : -4.3444, 0 -> 5
a : -2.4789, 1 -> 2
c : 2.8388, 1 -> 3
b : 9.1013, 2 -> 2
c : -7.6747, 2 -> 2
b : 3.1786, 3 -> 0
c : 4.4773, 3 -> 6
b : 1.3362, 4 -> 4
b : -9.2362, 4 -> 3
d : -7.9599, 5 -> 1
d : 3.4561, 5 -> 6
a : -9.6500, 6 -> 0
a : -2.3629, 6 -> 6
b : -6.5292, 7 -> 3
b : -4.5172, 7 -> 3
