a : 0.3326, 0 -> 6
b : -2.1502, 0 -> 7
c : 6.9667, 0 -> 3
d : -9.5241, 0 -> 6
a : -0.9120, 1 -> 1
b : -3.1963, 1 -> 2
c : 9.4429, 1 -> 3
d : -1.3359, 1 -> 5
a : -9.7225, 2 -> 2
b : 7.1726, 2 -> 2
c : 2.1440, 2 -> 6
d : -9.7039, 2 -> 7
a : -5.8823, 3 -> 3
b : 0.8230, 3 -> 3
c : -0.4934, 3 -> 3
d : 8.1260, 3 -> 4
a : 6.5389, 4 -> 4
b : -1.9093, 4 -> 3
c : 9.0648, 4 -> 3
d : -6.2247, 4 -> 7
a : -1.2581, 5 -> 3
b : -4.6926, 5 -> 6
c : 7.9610, 5 -> 0
d : 5.7772, 5 -> 7
a : -6.7146, 6 -> 0
b : 4.7168, 6 -> 3
c : -2.3518, 6 -> 2
d : -1.8122, 6 -> 2
a : 9.6668, 7 -> 4
b : 0.4310, 7 -> 6
c : -9.9544, 7 -> 3
d : 0.6912, 7 -> 2
a : 3.0374, 0 -> 5
b : 2.3309, 0 -> 4
c : 0.2989, 1 -> 6
d : -7.1975, 1 -> 6
a : 4.9963, 2 -> 2
a : -0.4615, 2 -> 3
d : -8.8170, 3 -> 0
c : 9.7552, 3 -> 0
b : -8.3321, 4 -> 0
b : -0.2515, 4 -> 0
d : -3.7394, 5 -> 1
d : 3.2673, 5 -> 2
d : 8.2163, 6 -> 3
a : 5.5409, 6 -> 4
a : -8.9019, 7 -> 6
a : 6.7426, 7 -> 6
