a : 7.3723, 0 -> 6
b : 0.1752, 0 -> 7
c : -7.7096, 0 -> 1
d : 8.0710, 0 -> 5
a : 4.4086, 1 -> 5
b : -9.0489, 1 -> 5
c : 3.6069, 1 -> 1
d : -9.7129, 1 -> 7
a : -4.2120, 2 -> 2
b : -4.3955, 2 -> 0
c : 9.7983, 2 -> 6
d : 2.6317, 2 -> 7
a : 3.5063, 3 -> 2
b : -3.9408, 3 -> 6
c : 5.4817, 3 -> 1
d : -0.4682, 3 -> 4
a : 1.2151, 4 -> 5
b : 3.2410, 4 -> 6
c : 8.7944, 4 -> 0
d : 1.2999, 4 -> 4
a : 2.1467, 5 -> 3
b : -1.0639, 5 -> 0
c : -2.9613, 5 -> 6
d : 8.1390, 5 -> 5
a : 9.1926, 6 -> 0
b : -7.6013, 6 -> 7
c : 9.1418, 6 -> 0
d : -5.3159, 6 -> 6
a : -3.7080, 7 -> 3
b : 9.5583, 7 -> 3
c : -1.7326, 7 -> 6
d : 4.9094, 7 -> 1
d : -2.7254, 0 -> 0
a : -4.0215, 0 -> 5
a : 7.4920, 1 -> 6
b : -4.7585, 1 -> 6
c : -2.2961, 2 -> 3
b : -0.5244, 2 -> 2
d : 0.0498, 3 -> 5
b : -1.2604, 3 -> 3
d : -3.2628, 4 -> 2
d : 6.5434, 4 -> 3
b : -1.8665, 5 -> 4
c : 7.2448, 5 -> 3
d : 2.2851, 6 -> 2
c : 0.3249, 6 -> 2
b : 9.1570, 7 -> 7
c : 4.2942, 7 -> 5
