a : 6.1306, 0 -> 0
b : 5.6339, 0 -> 6
c : -5.8901, 0 -> 1
d : -2.4631, 0 -> 4
a : -8.8317, 1 -> 0
b : 8.7972, 1 -> 2
c : 8.0491, 1 -> 5
d : -0.6365, 1 -> 4
a : -6.9782, 2 -> 7
b : -1.4502, 2 -> 3
c : 2.7126, 2 -> 6
d : -3.4594, 2 -> 6
a : -3.7448, 3 -> 1
b : -7.6295, 3 -> 3
c : -7.0895, 3 -> 7
d : 9.1472, 3 -> 2
a : 3.2213, 4 -> 0
b : 0.0625, 4 -> 2
c : -4.0186, 4 -> 1
d : -9.2333, 4 -> 6
a : -3.0127, 5 -> 5
b : -3.6699, 5 -> 7
c : -8.2143, 5 -> 1
d : 6.2754, 5 -> 5
a : 8.6329, 6 -> 4
b : 3.9839, 6 -> 2
c : -5.2228, 6 -> 2
d : 2.8374, 6 -> 0
a : -5.2263, 7 -> 0
b : 3.3122, 7 -> 4
c : 9.3215, 7 -> 5
d : -2.0481, 7 -> 0
c : 4.9663, 0 -> 4
b : 6.3418, 0 -> 1
b : -2.9180, 1 -> 2
d : -2.1411, 1 -> 1
c : -8.7354, 2 -> 3
a : 4.2254, 2 -> 3
d : 8.7964, 3 -> 0
d : -6.3036, 3 -> 1
d : 3.9876, 4 -> 0
a : 4.8723, 4 -> 5
c : -1.3485, 5 -> 6
c : -7.8520, 5 -> 6
c : -5.0743, 6 -> 6
c : -9.5716, 6 -> 6
b : 9.3003, 7 -> 3
b : 1.6636, 7 -> 2
