a : 8.2862, 0 -> 2
b : -4.5188, 0 -> 6
c : 0.7564, 0 -> 0
d : -7.4044, 0 -> 6
a : -3.0516, 1 -> 2
b : -7.5804, 1 -> 4
c : 6.1071, 1 -> 6
d : -8.0302, 1 -> 4
a : -3.9628, 2 -> 6
b : -5.6499, 2 -> 5
c : -7.1070, 2 -> 5
d : -2.5330, 2 -> 4
a : 2.3503, 3 -> 7
b : -0.7846, 3 -> 2
c : 2.5947, 3 -> 4
d : 6.1461, 3 -> 4
a : -1.0428, 4 -> 0
b : -8.8149, 4 -> 0
c : 9.3415, 4 -> 3
d : -2.0015, 4 -> 2
a : -7.2004, 5 -> 3
b : 2.3819, 5 -> 1
c : -3.8517, 5 -> 7
d : 1.2533, 5 -> 1
a : 0.7787, 6 -> 0
b : 0.5413, 6 -> 5
c : -6.4913, 6 -> 3
d : -7.4388, 6 -> 6
a : -8.7879, 7 -> 5
b : 8.4382, 7 -> 0
c : 6.3353, 7 -> 1
d : 4.9809, 7 -> 5
a : -7.0547, 0 -> 2
d : 9.5629, 0 -> 7
a : -5.7089, 1 -> 2
d : -1.1575, 1 -> 4
d : 0.5561, 2 -> 2
a : 4.9998, 2 -> 5
d : -3.3404, 3 -> 7
b : 8.3839, 3 -> 4
b : 1.8186, 4 -> 7
c : -9.4587, 4 -> 7
a : 0.2616, 5 -> 4
a : 6.7389, 5 -> 0
c : 9.8632, 6 -> 5
a : -2.9391, 6 -> 3
d : -0.1237, 7 -> 0
b : -8.6245, 7 -> 7
