a : 0.7814, 0 -> 2
b : -2.7294, 0 -> 6
c : 9.9617, 0 -> 2
d : -2.2114, 0 -> 1
a : -4.1501, 1 -> 0
b : 5.8695, 1 -> 4
c : -4.2832, 1 -> 6
d : -8.4553, 1 -> 0
a : -1.8201, 2 -> 1
b : 3.6622, 2 -> 3
c : -3.5522, 2 -> 5
d : -5.9697, 2 -> 2
a : -7.6659, 3 -> 3
b : -9.0313, 3 -> 2
c : -4.6324, 3 -> 3
d : -6.4203, 3 -> 0
a : 8.8909, 4 -> 5
b : 8.8819, 4 -> 0
c : 5.8596, 4 -> 4
d : 0.7719, 4 -> 0
a : -1.0281, 5 -> 7
b : -2.5654, 5 -> 3
c : 2.2216, 5 -> 0
d : 4.4266, 5 -> 3
a : -3.4461, 6 -> 0
b : 9.0980, 6 -> 3
c : 1.3318, 6 -> 3
d : 2.0606, 6 -> 6
a : 0.2253, 7 -> 2
b : -0.3015, 7 -> 3
c : 5.8798, 7 -> 1
d : -6.3357, 7 -> 0
c : 3.1990, 0 -> 1
c : 9.7290, 0 -> 7
b : -7.1368, 1 -> 0
d : -2.3504, 1 -> 5
b : -5.2879, 2 -> 1
c : -6.9631, 2 -> 6
a : -4.8215, 3 -> 0
c : -9.5260, 3 -> 5
b : 8.8351, 4 -> 0
d : 3.5496, 4 -> 4
c : -5.6938, 5 -> 3
b : 2.5418, 5 -> 2
d : 5.3162, 6 -> 7
d : 2.1888, 6 -> 1
d : 3.5570, 7 -> 3
b : 6.1273, 7 -> 3
