a : 1.6726, 0 -> 0
b : 9.2936, 0 -> 2
c : -6.6381, 0 -> 5
d : -1.0486, 0 -> 2
a : 1.2808, 1 -> 5
b : -7.6561, 1 -> 7
c : -1.1699, 1 -> 4
d : -0.4492, 1 -> 3
a : 8.6833, 2 -> 5
b : 7.5920, 2 -> 6
c : 2.3227, 2 -> 4
d : -7.2929, 2 -> 4
a : -5.2292, 3 -> 7
b : -5.7103, 3 -> 7
c : -5.6135, 3 -> 3
d : -6.0710, 3 -> 4
a : 6.3750, 4 -> 2
b : -9.7531, 4 -> 4
c : 4.0757, 4 -> 5
d : 3.0142, 4 -> 2
a : 2.9378, 5 -> 6
b : 0.8248, 5 -> 4
c : 6.3691, 5 -> 3
d : 7.7612, 5 -> 2
a : -5.6679, 6 -> 0
b : -2.7641, 6 -> 1
c : -9.5277, 6 -> 5
d : 3.0080, 6 -> 3
a : -7.6087, 7 -> 2
b : -1.3072, 7 -> 5
c : -1.8399, 7 -> 7
d : -4.7012, 7 -> 4
a : -6.5818, 0 -> 3
d : -1.5369, 0 -> 6
a : 6.2184, 1 -> 4
c : -5.5183, 1 -> 2
a : 2.6244, 2 -> 1
d : -8.2128, 2 -> 1
c : -4.4614, 3 -> 1
d : -4.6942, 3 -> 4
a : 3.3199, 4 -> 6
c : -1.8518, 4 -> 2
c : 7.7142, 5 -> 2
b : 9.4076, 5 -> 5
c : -8.6892, 6 -> 4
a : 2.1435, 6 -> 7
c : -1.0587, 7 -> 3
c : -4.4173, 7 -> 3
