a : -2.7909, 0 -> 1
b : 7.2084, 0 -> 0
c : -9.3984, 0 -> 4
d : 9.9361, 0 -> 2
a : 9.5637, 1 -> 7
b : 4.3911, 1 -> 0
c : -2.2394, 1 -> 6
d : -6.3586, 1 -> 3
a : -4.4409, 2 -> 4
b : -1.3026, 2 -> 2
c : 6.6102, 2 -> 1
d : -0.8303, 2 -> 5
a : -4.9215, 3 -> 5
b : 4.1074, 3 -> 7
c : 4.5193, 3 -> 7
d : 0.5364, 3 -> 0
a : -4.6463, 4 -> 4
b : -0.9897, 4 -> 5
c : -3.4136, 4 -> 2
d : 5.5663, 4 -> 3
a : 7.0869, 5 -> 2
b : -2.3575, 5 -> 7
c : -4.4652, 5 -> 0
d : 6.2735, 5 -> 5
a : -4.5297, 6 -> 0
b : -8.2643, 6 -> 0
c : -0.2953, 6 -> 4
d : -3.1184, 6 -> 1
a : -8.1276, 7 -> 7
b : -7.3604, 7 -> 2
c : 9.0362, 7 -> 2
d : 8.4768, 7 -> 3
d : 5.8265, 0 -> 3
b : -5.1867, 0 -> 2
b : -9.5669, 1 -> 3
c : 7.7395, 1 -> 7
c : 1.4651, 2 -> 1
a : -4.4993, 2 -> 1
d : 6.8665, 3 -> 2
a : 5.0143, 3 -> 5
d : -0.6364, 4 -> 7
a : 5.4586, 4 -> 4
d : 1.9764, 5 -> 6
c : -1.6244, 5 -> 5
d : 3.7288, 6 -> 7
b : 1.7152, 6 -> 5
b : 8.0852, 7 -> 5
a : -7.1326, 7 -> 3
