a : -4.9609, 0 -> 4
b : -4.0155, 0 -> 6
a : 4.6192, 1 -> 2
b : 1.8862, 1 -> 6
a : 3.2294, 2 -> 6
b : -1.6577, 2 -> 7
a : -8.3460, 3 -> 7
b : 5.1776, 3 -> 7
a : 7.7853, 4 -> 2
b : 3.6284, 4 -> 6
a : 5.0294, 5 -> 0
b : -0.9055, 5 -> 4
a : -7.3685, 6 -> 4
b : 4.3437, 6 -> 4
a : -9.2741, 7 -> 4
b : -8.6458, 7 -> 7
a : 3.2432, 0 -> 5
b : -3.4669, 1 -> 2
b : 5.7839, 2 -> 7
a : 6.0051, 3 -> 6
a : -1.4726, 4 -> 0
a : -7.4343, 5 -> 0
a : 3.3050, 6 -> 6
b : -3.0469, 7 -> 4
b : 3.7337, 2 -> 3
a : 5.8846, 2 -> 1
