a : -7.6761, 0 -> 6
b : 0.4552, 0 -> 6
c : -3.6219, 0 -> 1
d : -0.8829, 0 -> 5
a : 4.5092, 1 -> 4
b : 3.9024, 1 -> 5
c : 0.8933, 1 -> 2
d : -4.4279, 1 -> 1
a : -5.5244, 2 -> 1
b : 9.7810, 2 -> 2
c : -7.1115, 2 -> 5
d : 3.6907, 2 -> 7
a : 9.5332, 3 -> 2
b : 7.7429, 3 -> 2
c : 5.6225, 3 -> 7
d : 2.1331, 3 -> 0
a : 9.4749, 4 -> 4
b : 9.0293, 4 -> 2
c : -8.6046, 4 -> 5
d : 6.3375, 4 -> 3
a : -3.3257, 5 -> 1
b : -3.0878, 5 -> 0
c : 8.9772, 5 -> 6
d : 8.1509, 5 -> 5
a : -0.8365, 6 -> 5
b : 9.2894, 6 -> 2
c : 5.2487, 6 -> 5
d : -0.5009, 6 -> 7
a : -6.0174, 7 -> 6
b : 3.0643, 7 -> 5
c : -5.7303, 7 -> 0
d : 4.3594, 7 -> 7
b : -7.0031, 0 -> 3
c : -4.3189, 0 -> 6
b : 0.3260, 1 -> 2
d : -0.5809, 1 -> 3
d : 0.7452, 2 -> 5
d : 4.4484, 2 -> 2
b : 8.0178, 3 -> 4
c : 2.5617, 3 -> 2
b : 9.6943, 4 -> 7
c : -0.1133, 4 -> 5
d : -8.0516, 5 -> 4
c : 1.2814, 5 -> 3
d : 5.2927, 6 -> 2
d : -4.2534, 6 -> 2
d : 1.1242, 7 -> 3
a : -5.0590, 7 -> 3
