a : 1.7288, 0 -> 7
b : -4.7405, 0 -> 6
c : -8.8167, 0 -> 4
d : 7.8482, 0 -> 3
a : 8.5215, 1 -> 2
b : -4.7957, 1 -> 2
c : -3.1828, 1 -> 3
d : -2.3097, 1 -> 6
a : 2.1084, 2 -> 0
b : -0.6283, 2 -> 7
c : 0.5602, 2 -> 5
d : -2.8897, 2 -> 4
a : -0.4002, 3 -> 1
b : 2.3238, 3 -> 0
c : 8.1413, 3 -> 4
d : 0.9916, 3 -> 5
a : 1.2743, 4 -> 1
b : 8.0637, 4 -> 4
c : 9.7257, 4 -> 2
d : 6.2955, 4 -> 3
a : -6.3419, 5 -> 5
b : 3.4356, 5 -> 4
c : -7.9370, 5 -> 4
d : -5.1454, 5 -> 0
a : 7.8752, 6 -> 5
b : -3.9369, 6 -> 0
c : 6.6723, 6 -> 6
d : -8.8112, 6 -> 2
a : -4.4422, 7 -> 3
b : -2.9959, 7 -> 0
c : 7.5783, 7 -> 0
d : -8.8717, 7 -> 4
a : 4.2031, 0 -> 4
a : -1.4100, 0 -> 4
a : -8.3755, 1 -> 0
d : 1.5088, 1 -> 2
d : 3.4757, 2 -> 7
a : 6.6228, 2 -> 1
a : 0.3077, 3 -> 5
b : 6.5283, 3 -> 2
a : 8.2803, 4 -> 1
c : 6.2665, 4 -> 5
c : -8.7250, 5 -> 5
d : -9.4872, 5 -> 1
d : -1.7823, 6 -> 6
d : -8.5046, 6 -> 5
b : 2.7429, 7 -> 2
a : -1.3203, 7 -> 7
