a : -7.1465, 0 -> 0
b : -5.9187, 0 -> 6
c : -8.1307, 0 -> 0
d : -0.1095, 0 -> 6
a : -6.9076, 1 -> 5
b : 6.6667, 1 -> 5
c : -1.9283, 1 -> 7
d : 0.9067, 1 -> 7
a : 0.3450, 2 -> 6
b : -8.9796, 2 -> 4
c : 3.0890, 2 -> 2
d : 4.4197, 2 -> 7
a : 4.0312, 3 -> 0
b : 5.3013, 3 -> 5
c : -6.9334, 3 -> 2
d : -4.6570, 3 -> 3
a : 8.2330, 4 -> 7
b : 8.0268, 4 -> 4
c : -6.0235, 4 -> 6
d : -9.4704, 4 -> 4
a : 4.6451, 5 -> 6
b : -2.4756, 5 -> 3
c : 2.0214, 5 -> 6
d : -8.9459, 5 -> 2
a : -0.6409, 6 -> 4
b : 8.6888, 6 -> 5
c : 0.3244, 6 -> 6
d : 2.1213, 6 -> 4
a : 8.8913, 7 -> 7
b : 1.8668, 7 -> 1
c : 3.6730, 7 -> 0
d : 4.6793, 7 -> 3
a : -1.7740, 0 -> 2
c : 9.5205, 0 -> 4
c : -4.7744, 1 -> 6
a : -8.8527, 1 -> 5
d : -8.0518, 2 -> 0
c : -5.3388, 2 -> 2
b : -6.6333, 3 -> 7
d : -5.4846, 3 -> 3
b : 0.2591, 4 -> 1
d : -2.7036, 4 -> 0
b : 6.1506, 5 -> 0
b : -6.6850, 5 -> 1
b : 5.4397, 6 -> 0
a : 8.7432, 6 -> 2
b : -0.1507, 7 -> 1
b : 0.1460, 7 -> 0
