a : 3.3152, 0 -> 5
b : 2.5116, 0 -> 3
c : -7.8968, 0 -> 6
d : 3.2099, 0 -> 2
a : 4.7612, 1 -> 4
b : 0.3017, 1 -> 4
c : 2.5428, 1 -> 3
d : 0.7906, 1 -> 2
a : 5.4764, 2 -> 1
b : 4.7362, 2 -> 4
c : -2.3535, 2 -> 4
d : -1.6847, 2 -> 2
a : 4.2435, 3 -> 0
b : -4.2180, 3 -> 5
c : -7.5818, 3 -> 1
d : -9.4683, 3 -> 5
a : 2.2207, 4 -> 3
b : 2.6724, 4 -> 3
c : -5.2976, 4 -> 0
d : -1.2641, 4 -> 7
a : 0.3752, 5 -> 3
b : 6.3688, 5 -> 7
c : 1.1260, 5 -> 3
d : 8.4889, 5 -> 4
a : -3.8097, 6 -> 0
b : 3.0082, 6 -> 5
c : -1.4300, 6 -> 2
d : 3.2024, 6 -> 5
a : 0.3785, 7 -> 2
b : -9.4692, 7 -> 7
c : -3.3050, 7 -> 6
d : -3.0363, 7 -> 2
d : 3.3645, 0 -> 1
a : 9.5356, 0 -> 3
b : -4.4107, 1 -> 5
b : 3.3730, 1 -> 5
c : -3.3162, 2 -> 6
c : 1.5428, 2 -> 7
c : 6.2336, 3 -> 3
a : 1.6523, 3 -> 3
c : 2.1673, 4 -> 2
d : -0.6169, 4 -> 5
d : -9.0174, 5 -> 6
d : -1.8930, 5 -> 6
b : 3.2238, 6 -> 4
c : 6.8771, 6 -> 3
b : -6.3222, 7 -> 6
a : 9.8677, 7 -> 2
