a : 7.5464, 0 -> 6
b : 1.9199, 0 -> 2
c : -3.3462, 0 -> 7
d : 4.7552, 0 -> 1
a : 4.7836, 1 -> 5
b : -3.5816, 1 -> 2
c : 6.0659, 1 -> 7
d : -4.2579, 1 -> 0
a : 0.9611, 2 -> 3
b : -5.2290, 2 -> 4
c : 6.7290, 2 -> 7
d : 3.8244, 2 -> 5
a : 1.1628, 3 -> 6
b : 1.1130, 3 -> 5
c : 4.5873, 3 -> 0
d : -8.6582, 3 -> 2
a : 8.2884, 4 -> 2
b : 5.2167, 4 -> 3
c : 8.1094, 4 -> 4
d : 4.2950, 4 -> 6
a : -9.1946, 5 -> 0
b : 3.3835, 5 -> 1
c : 0.4309, 5 -> 5
d : -8.1530, 5 -> 7
a : 3.3232, 6 -> 3
b : 0.1706, 6 -> 6
c : 3.3570, 6 -> 7
d : 0.3474, 6 -> 3
a : 8.2391, 7 -> 4
b : -6.6400, 7 -> 0
c : 1.6517, 7 -> 3
d : -2.0799, 7 -> 1
d : -8.6549, 0 -> 2
b : 8.0403, 0 -> 1
d : 4.3750, 1 -> 7
a : 0.6098, 1 -> 2
c : 3.8311, 2 -> 5
a : 4.0660, 2 -> 7
b : -6.6223, 3 -> 0
d : 7.0462, 3 -> 7
a : 1.9980, 4 -> 0
b : -2.6881, 4 -> 3
c : -5.7804, 5 -> 5
c : -9.7599, 5 -> 0
b : 9.7293, 6 -> 2
b : -6.8097, 6 -> 7
b : 3.8132, 7 -> 2
b : -7.2770, 7 -> 0
