a : -2.1300, 0 -> 7
b : -7.8108, 0 -> 3
c : 0.6043, 0 -> 3
d : -4.6018, 0 -> 2
a : -1.1663, 1 -> 4
b : -5.0529, 1 -> 7
c : 1.6994, 1 -> 1
d : -5.7908, 1 -> 3
a : -4.0992, 2 -> 7
b : -5.6978, 2 -> 7
c : 5.6729, 2 -> 5
d : -5.3871, 2 -> 4
a : 6.4661, 3 -> 1
b : 7.6315, 3 -> 6
c : -6.6009, 3 -> 1
d : -0.9488, 3 -> 6
a : -7.1600, 4 -> 0
b : -4.5337, 4 -> 0
c : -3.6931, 4 -> 3
d : 2.8820, 4 -> 2
a : 9.9884, 5 -> 5
b : 0.5887, 5 -> 6
c : -7.7923, 5 -> 7
d : 0.3226, 5 -> 4
a : 1.5639, 6 -> 4
b : -9.5698, 6 -> 1
c : -1.0189, 6 -> 1
d : 8.4947, 6 -> 6
a : 3.6622, 7 -> 6
b : 2.3357, 7 -> 2
c : 4.3746, 7 -> 6
d : -6.5515, 7 -> 2
a : -2.6026, 0 -> 6
d : -1.6533, 0 -> 0
d : 9.4397, 1 -> 6
c : -4.8747, 1 -> 7
b : -6.9908, 2 -> 5
a : 3.1342, 2 -> 6
c : -7.1541, 3 -> 0
d : 6.4833, 3 -> 5
d : 7.8309, 4 -> 4
c : 8.5740, 4 -> 2
d : -1.0128, 5 -> 2
c : 9.1126, 5 -> 1
d : -2.8247, 6 -> 5
b : 9.2363, 6 -> 6
d : 0.0377, 7 -> 6
c : 2.5180, 7 -> 3
