a : 8.5611, 0 -> 5
b : 2.1835, 0 -> 6
c : -0.1534, 0 -> 0
d : -1.4127, 0 -> 2
a : -6.3393, 1 -> 3
b : 7.0172, 1 -> 3
c : -1.4992, 1 -> 0
d : -1.4627, 1 -> 3
a : -5.4757, 2 -> 4
b : 1.3478, 2 -> 6
c : -6.1789, 2 -> 7
d : -6.3771, 2 -> 4
a : 4.1009, 3 -> 2
b : -5.6812, 3 -> 1
c : -4.1690, 3 -> 1
d : -0.2346, 3 -> 5
a : 7.5323, 4 -> 5
b : -2.3160, 4 -> 3
c : 6.6478, 4 -> 6
d : -1.6992, 4 -> 5
a : 4.6175, 5 -> 4
b : -3.9760, 5 -> 4
c : -4.5107, 5 -> 5
d : 8.5653, 5 -> 1
a : 6.3138, 6 -> 4
b : -2.4316, 6 -> 7
c : 8.5200, 6 -> 7
d : 4.2745, 6 -> 5
a : 6.1921, 7 -> 7
b : 7.8985, 7 -> 7
c : 9.7754, 7 -> 3
d : -3.3920, 7 -> 5
b : -9.0883, 0 -> 4
b : 1.0707, 0 -> 1
c : 0.6356, 1 -> 6
d : 5.9837, 1 -> 0
b : -2.7201, 2 -> 0
a : -7.4298, 2 -> 2
a : -6.5154, 3 -> 3
d : -3.4956, 3 -> 0
b : -5.2102, 4 -> 4
a : 5.0508, 4 -> 0
b : -7.3387, 5 -> 3
a : -1.9752, 5 -> 4
d : 2.5850, 6 -> 4
d : 9.6820, 6 -> 4
d : 0.9246, 7 -> 7
b : -6.4656, 7 -> 3
