a : -8.3767, 0 -> 1
b : -0.5023, 0 -> 6
c : -1.7218, 0 -> 2
d : -3.1337, 0 -> 4
a : 5.4560, 1 -> 1
b : -9.9386, 1 -> 6
c : 2.1307, 1 -> 0
d : 3.1144, 1 -> 3
a : -0.7464, 2 -> 2
b : 2.9481, 2 -> 6
c : 1.3564, 2 -> 1
d : 2.5543, 2 -> 5
a : 9.1221, 3 -> 6
b : -1.1267, 3 -> 0
c : 2.2808, 3 -> 1
d : 2.9826, 3 -> 2
a : 4.6382, 4 -> 1
b : -4.7439, 4 -> 7
c : -2.9934, 4 -> 3
d : 0.6417, 4 -> 3
a : -0.9049, 5 -> 7
b : -6.2272, 5 -> 0
c : -2.4339, 5 -> 0
d : 5.9057, 5 -> 4
a : -3.8327, 6 -> 3
b : -8.8885, 6 -> 1
c : -2.0503, 6 -> 6
d : 1.0006, 6 -> 4
a : -4.7369, 7 -> 4
b : -3.9851, 7 -> 7
c : 0.8624, 7 -> 5
d : -6.1596, 7 -> 4
d : 3.0207, 0 -> 6
b : -8.4398, 0 -> 0
d : -4.3092, 1 -> 6
b : -9.0942, 1 -> 5
a : -3.6555, 2 -> 2
d : 0.1823, 2 -> 4
c : 9.9645, 3 -> 5
a : 0.8048, 3 -> 6
a : 3.8836, 4 -> 6
b : -1.4111, 4 -> 7
c : 7.0421, 5 -> 6
b : 4.0617, 5 -> 7
d : -8.9867, 6 -> 2
d : -3.1155, 6 -> 7
d : 9.7410, 7 -> 7
b : -3.0808, 7 -> 0
