a : 5.3095, 0 -> 7
b : 5.5957, 0 -> 2
c : 3.1623, 0 -> 1
d : -5.3663, 0 -> 3
a : 1.4594, 1 -> 4
b : 1.1068, 1 -> 0
c : 3.1028, 1 -> 1
d : -7.9648, 1 -> 3
a : 1.7285, 2 -> 5
b : -1.3266, 2 -> 6
c : -4.2400, 2 -> 4
d : -3.0436, 2 -> 4
a : 6.3159, 3 -> 3
b : -4.2150, 3 -> 6
c : 6.0604, 3 -> 1
d : -9.7524, 3 -> 3
a : 5.9531, 4 -> 7
b : -8.3460, 4 -> 2
c : -7.3533, 4 -> 0
d : -0.0193, 4 -> 4
a : -8.0315, 5 -> 4
b : 5.3736, 5 -> 5
c : -3.0555, 5 -> 2
d : 3.2343, 5 -> 6
a : 0.8439, 6 -> 7
b : 9.4204, 6 -> 6
c : -4.8685, 6 -> 3
d : -6.4621, 6 -> 5
a : 8.7337, 7 -> 4
b : 3.2410, 7 -> 1
c : -6.9357, 7 -> 7
d : -5.9265, 7 -> 4
b : -3.2532, 0 -> 2
d : 8.5468, 0 -> 2
c : 2.2215, 1 -> 1
c : -4.5544, 1 -> 0
c : -0.4769, 2 -> 7
a : -0.1220, 2 -> 6
d : 1.9341, 3 -> 4
a : 7.4799, 3 -> 5
b : 2.3668, 4 -> 4
d : 2.1064, 4 -> 1
d : 1.3760, 5 -> 3
b : -4.2479, 5 -> 0
a : 4.4595, 6 -> 0
d : -0.5592, 6 -> 2
a : 3.1208, 7 -> 2
c : -4.0553, 7 -> 0
