a : -0.2424, 0 -> 1
b : -3.4396, 0 -> 2
c : 9.3255, 0 -> 7
d : 6.9227, 0 -> 4
a : -7.4927, 1 -> 1
b : -5.2435, 1 -> 3
c : -9.2331, 1 -> 7
d : -4.0278, 1 -> 1
a : -3.7368, 2 -> 1
b : 4.1567, 2 -> 4
c : -8.0034, 2 -> 5
d : -2.2890, 2 -> 0
a : 6.8831, 3 -> 4
b : -6.6399, 3 -> 5
c : -4.8359, 3 -> 0
d : -0.3858, 3 -> 2
a : 1.7204, 4 -> 0
b : 0.6333, 4 -> 7
c : -4.8078, 4 -> 3
d : -2.4138, 4 -> 4
a : 6.4994, 5 -> 7
b : -7.7378, 5 -> 1
c : -6.3025, 5 -> 4
d : -1.6759, 5 -> 4
a : -7.1928, 6 -> 5
b : 5.1462, 6 -> 1
c : -5.1301, 6 -> 6
d : -4.6785, 6 -> 6
a : -3.8994, 7 -> 7
b : -4.8848, 7 -> 0
c : -7.8591, 7 -> 2
d : 0.6294, 7 -> 4
a : -7.8844, 0 -> 1
a : -1.5746, 0 -> 7
b : 9.6880, 1 -> 3
a : 5.9036, 1 -> 0
d : 0.2096, 2 -> 3
c : 1.7977, 2 -> 6
b : -3.9897, 3 -> 3
a : -4.0655, 3 -> 5
d : -9.2319, 4 -> 5
c : -9.1489, 4 -> 7
d : -6.2708, 5 -> 4
d : -0.1508, 5 -> 6
b : 4.0521, 6 -> 1
a : 7.0125, 6 -> 6
d : -1.4550, 7 -> 7
c : 3.8149, 7 -> 4
