a : 3.1899, 0 -> 4
b : 0.6069, 0 -> 0
c : -0.9304, 0 -> 2
d : -9.4071, 0 -> 3
a : 2.6094, 1 -> 3
b : -0.0782, 1 -> 0
c : 6.1551, 1 -> 6
d : -7.1944, 1 -> 5
a : 0.2100, 2 -> 1
b : 4.1872, 2 -> 7
c : 5.8703, 2 -> 6
d : 3.1785, 2 -> 6
a : 4.6051, 3 -> 0
b : -3.1819, 3 -> 5
c : -4.5128, 3 -> 5
d : 3.0789, 3 -> 6
a : -4.1652, 4 -> 1
b : -1.9649, 4 -> 1
c : 6.0607, 4 -> 6
d : 6.0455, 4 -> 4
a : 6.9487, 5 -> 1
b : 7.3908, 5 -> 4
c : -9.5923, 5 -> 7
d : -0.8483, 5 -> 2
a : -8.0255, 6 -> 4
b : -0.6675, 6 -> 3
c : -4.8658, 6 -> 0
d : 9.3220, 6 -> 5
a : 0.2829, 7 -> 0
b : -3.1669, 7 -> 4
c : 8.7251, 7 -> 5
d : 5.9779, 7 -> 2
a : -6.4426, 0 -> 3
d : 7.0300, 0 -> 0
a : -2.4878, 1 -> 7
d : -8.0779, 1 -> 3
d : 0.9615, 2 -> 1
b : -1.9969, 2 -> 0
b : -6.8509, 3 -> 4
a : 8.6989, 3 -> 6
d : -6.3970, 4 -> 0
d : -2.3396, 4 -> 3
a : 5.4605, 5 -> 1
b : -3.1605, 5 -> 6
b : -5.4541, 6 -> 4
b : -9.7735, 6 -> 3
d : 9.7944, 7 -> 4
b : -5.2834, 7 -> 1
