a : 9.8051, 0 -> 5
b : -8.7386, 0 -> 4
c : -1.3549, 0 -> 1
d : -0.7339, 0 -> 7
a : -7.7824, 1 -> 7
b : -6.4830, 1 -> 0
c : 3.5679, 1 -> 3
d : -9.6486, 1 -> 0
a : 5.3656, 2 -> 4
b : 2.1265, 2 -> 1
c : -6.1053, 2 -> 3
d : -4.8194, 2 -> 5
a : 4.7228, 3 -> 3
b : 9.5996, 3 -> 1
c : -9.5354, 3 -> 2
d : 2.6261, 3 -> 6
a : -9.9526, 4 -> 3
b : -8.8249, 4 -> 1
c : 6.2371, 4 -> 4
d : 0.1421, 4 -> 0
a : 1.5557, 5 -> 5
b : -8.0880, 5 -> 5
c : -7.0978, 5 -> 5
d : 5.5109, 5 -> 1
a : -9.1167, 6 -> 4
b : 5.8292, 6 -> 0
c : -7.3058, 6 -> 4
d : -4.3331, 6 -> 2
a : -7.5550, 7 -> 1
b : -7.9362, 7 -> 5
c : 4.0281, 7 -> 5
d : -8.6599, 7 -> 3
d : -8.7928, 0 -> 6
b : 7.9145, 0 -> 1
c : -4.3506, 1 -> 7
d : 6.4511, 1 -> 1
c : -3.6156, 2 -> 6
d : 9.1619, 2 -> 2
a : 3.0488, 3 -> 3
c : -4.6670, 3 -> 3
b : 4.5310, 4 -> 7
b : 5.3022, 4 -> 5
b : -3.7668, 5 -> 6
d : -1.1402, 5 -> 4
b : -0.7925, 6 -> 2
a : 8.4522, 6 -> 1
c : -9.2016, 7 -> 2
d : 6.0565, 7 -> 4
