a : -7.1126, 0 -> 3
b : -7.4999, 0 -> 1
c : 6.1153, 0 -> 1
d : 3.6952, 0 -> 4
a : 8.6110, 1 -> 4
b : 7.8295, 1 -> 3
c : 5.8412, 1 -> 3
d : -5.2824, 1 -> 2
a : -4.2598, 2 -> 3
b : -3.9979, 2 -> 3
c : -7.5643, 2 -> 0
d : 3.0071, 2 -> 4
a : 3.7647, 3 -> 0
b : 4.0132, 3 -> 1
c : 7.4941, 3 -> 2
d : 4.7512, 3 -> 1
a : 0.3697, 4 -> 5
b : -0.4681, 4 -> 4
c : 4.0356, 4 -> 1
d : -0.9356, 4 -> 7
a : -8.3110, 5 -> 2
b : 7.5090, 5 -> 5
c : 0.1329, 5 -> 3
d : 0.8913, 5 -> 3
a : 3.1790, 6 -> 0
b : -5.0884, 6 -> 0
c : -8.2907, 6 -> 5
d : -5.1903, 6 -> 2
a : -0.9096, 7 -> 1
b : 1.7662, 7 -> 3
c : 2.9054, 7 -> 5
d : -3.5740, 7 -> 3
c : -0.2267, 0 -> 6
c : -6.3172, 0 -> 5
a : 3.0890, 1 -> 5
b : -5.1832, 1 -> 0
c : -7.7597, 2 -> 1
d : 8.9116, 2 -> 2
c : -9.0283, 3 -> 6
b : 7.4060, 3 -> 2
c : -2.9907, 4 -> 2
c : 0.1903, 4 -> 5
c : 9.7087, 5 -> 6
b : 4.1896, 5 -> 5
d : -8.0053, 6 -> 6
d : -9.3864, 6 -> 6
c : -6.4708, 7 -> 0
b : -8.8871, 7 -> 3
