a : -0.9290, 0 -> 6
b : -9.7413, 0 -> 7
c : -2.9945, 0 -> 7
d : 0.7171, 0 -> 2
a : -1.8912, 1 -> 5
b : 4.5287, 1 -> 6
c : -7.4975, 1 -> 6
d : -2.5478, 1 -> 4
a : -0.1309, 2 -> 2
b : -8.1420, 2 -> 2
c : -8.6402, 2 -> 2
d : -3.3403, 2 -> 0
a : 8.7176, 3 -> 0
b : 2.4646, 3 -> 1
c : 2.3336, 3 -> 6
d : -5.1651, 3 -> 4
a : -5.9919, 4 -> 5
b : 4.0639, 4 -> 4
c : -5.6700, 4 -> 0
d : -9.8973, 4 -> 7
a : -0.4890, 5 -> 2
b : -2.6211, 5 -> 4
c : 7.8035, 5 -> 0
d : 3.2804, 5 -> 7
a : -7.3373, 6 -> 1
b : 5.6349, 6 -> 1
c : -3.9943, 6 -> 3
d : -9.6928, 6 -> 2
a : 2.5224, 7 -> 6
b : -4.1089, 7 -> 1
c : -7.2157, 7 -> 5
d : -5.8662, 7 -> 4
d : -0.7519, 0 -> 2
d : -3.1515, 0 -> 6
c : -2.8792, 1 -> 6
c : 3.9598, 1 -> 6
b : -1.5345, 2 -> 3
c : -3.6184, 2 -> 6
b : 6.4039, 3 -> 4
c : -3.2750, 3 -> 7
a : 3.5102, 4 -> 0
a : 4.7235, 4 -> 3
d : 3.7347, 5 -> 1
b : -5.1532, 5 -> 2
a : 0.1135, 6 -> 3
d : 5.7375, 6 -> 7
a : -9.6455, 7 -> 7
c : 2.7540, 7 -> 0
