a : -5.8062, 0 -> 7
b : -2.3097, 0 -> 4
c : -0.4415, 0 -> 5
d : -6.6464, 0 -> 7
a : 0.4468, 1 -> 6
b : -1.2992, 1 -> 5
c : 2.7414, 1 -> 0
d : -2.8214, 1 -> 1
a : 5.2778, 2 -> 4
b : 6.4056, 2 -> 7
c : 6.0516, 2 -> 3
d : 8.0590, 2 -> 5
a : 1.3566, 3 -> 7
b : -4.1286, 3 -> 5
c : 4.4610, 3 -> 6
d : -0.5665, 3 -> 2
a : -7.2444, 4 -> 3
b : -2.6850, 4 -> 7
c : 8.0816, 4 -> 6
d : -7.1878, 4 -> 2
a : 6.6950, 5 -> 2
b : -8.8796, 5 -> 4
c : -5.2153, 5 -> 0
d : -7.8869, 5 -> 3
a : 1.6774, 6 -> 2
b : 6.3226, 6 -> 6
c : -6.2123, 6 -> 5
d : -1.3519, 6 -> 2
a : -9.1778, 7 -> 3
b : -4.1306, 7 -> 1
c : 7.9114, 7 -> 5
d : 1.2101, 7 -> 7
a : 1.2718, 0 -> 2
d : -3.9303, 0 -> 1
d : -3.8888, 1 -> 4
b : 3.3349, 1 -> 6
a : -3.3974, 2 -> 0
a : 6.3724, 2 -> 0
b : -2.4248, 3 -> 0
d : -3.8428, 3 -> 0
c : -0.7676, 4 -> 6
b : 8.3199, 4 -> 6
b : 7.9426, 5 -> 0
c : 0.7445, 5 -> 5
b : -6.5114, 6 -> 1
d : -2.4983, 6 -> 7
c : 0.9044, 7 -> 1
d : 6.7751, 7 -> 3
