a : -7.2215, 0 -> 3
b : 6.7522, 0 -> 1
a : 0.7289, 1 -> 6
b : 5.0014, 1 -> 5
a : 1.4723, 2 -> 4
b : -4.8157, 2 -> 2
a : 7.1994, 3 -> 1
b : -9.8325, 3 -> 4
a : 1.7252, 4 -> 4
b : 8.7203, 4 -> 3
a : -7.9260, 5 -> 6
b : -9.5427, 5 -> 5
a : -0.5492, 6 -> 0
b : 1.6055, 6 -> 1
a : -6.1594, 7 -> 4
b : 7.3151, 7 -> 7
b : -7.1333, 0 -> 6
b : -3.0007, 1 -> 6
b : -8.3996, 2 -> 6
b : 3.0980, 3 -> 0
b : 5.9874, 4 -> 0
b : 6.4119, 5 -> 3
a : 6.4000, 6 -> 6
b : 9.7091, 7 -> 7
a : -3.0450, 4 -> 7
a : -1.2114, 5 -> 2
