a : 2.0710, 0 -> 4
b : -3.0672, 0 -> 1
c : -2.1784, 0 -> 5
d : 1.0630, 0 -> 4
a : 1.6877, 1 -> 3
b : 5.8638, 1 -> 7
c : 5.4762, 1 -> 5
d : 8.2399, 1 -> 6
a : 9.3215, 2 -> 3
b : 1.1589, 2 -> 7
c : -0.3358, 2 -> 7
d : 5.0108, 2 -> 2
a : -0.0429, 3 -> 7
b : 1.0089, 3 -> 1
c : -4.0004, 3 -> 6
d : -7.5668, 3 -> 6
a : -5.6126, 4 -> 0
b : 5.5918, 4 -> 1
c : 4.6118, 4 -> 3
d : 0.8964, 4 -> 5
a : -7.2482, 5 -> 5
b : 2.5816, 5 -> 3
c : 5.8212, 5 -> 6
d : -0.2038, 5 -> 1
a : 7.5079, 6 -> 1
b : 0.7374, 6 -> 2
c : -7.4215, 6 -> 7
d : 7.4951, 6 -> 4
a : 4.9499, 7 -> 7
b : -8.2028, 7 -> 3
c : -5.0528, 7 -> 4
d : -0.1846, 7 -> 6
c : 0.7202, 0 -> 3
b : -8.4923, 0 -> 3
c : 1.5076, 1 -> 2
d : 1.2988, 1 -> 1
a : 5.5564, 2 -> 6
d : -1.9106, 2 -> 1
c : -2.6601, 3 -> 5
a : 2.9662, 3 -> 1
a : 2.0915, 4 -> 0
c : -2.3263, 4 -> 2
a : -6.4645, 5 -> 7
d : 8.1973, 5 -> 7
c : 9.4863, 6 -> 6
a : -9.7493, 6 -> 6
c : 6.2859, 7 -> 3
a : -5.8415, 7 -> 6
